year,name,value,lastValue
2002.05,I Hope You Dance,48,48
2002.05,It's Been Awhile,43,43
2002.06,Smooth,58,58
2002.06,Higher,57,57
2002.06,The Way You Love Me,53,53
2002.06,Kryptonite,53,53
2002.06,Breathe,53,53
2002.06,Amazed,53,53
2002.06,Hanging By A Moment,52,52
2002.06,Drops Of Jupiter (Tell Me),51,51
2002.06,I Hope You Dance,48,48
2002.06,It's Been Awhile,43,43
2002.07,Smooth,58,58
2002.07,Higher,57,57
2002.07,The Way You Love Me,53,53
2002.07,Kryptonite,53,53
2002.07,Breathe,53,53
2002.07,Amazed,53,53
2002.07,Hanging By A Moment,52,52
2002.07,Drops Of Jupiter (Tell Me),51,51
2002.07,I Hope You Dance,48,48
2002.07,How You Remind Me,44,44
2002.08,Smooth,58,58
2002.08,Higher,57,57
2002.08,The Way You Love Me,53,53
2002.08,Kryptonite,53,53
2002.08,Breathe,53,53
2002.08,Amazed,53,53
2002.08,Hanging By A Moment,52,52
2002.08,Drops Of Jupiter (Tell Me),51,51
2002.08,I Hope You Dance,48,48
2002.08,How You Remind Me,48,48
2002.09,Smooth,58,58
2002.09,Higher,57,57
2002.09,The Way You Love Me,53,53
2002.09,Kryptonite,53,53
2002.09,Breathe,53,53
2002.09,Amazed,53,53
2002.09,Hanging By A Moment,52,52
2002.09,Drops Of Jupiter (Tell Me),51,51
2002.09,I Hope You Dance,48,48
2002.09,How You Remind Me,48,48
2002.1,Smooth,58,58
2002.1,Higher,57,57
2002.1,The Way You Love Me,53,53
2002.1,Kryptonite,53,53
2002.1,Breathe,53,53
2002.1,Amazed,53,53
2002.1,Hanging By A Moment,52,52
2002.1,Drops Of Jupiter (Tell Me),51,51
2002.1,I Hope You Dance,48,48
2002.1,How You Remind Me,48,48
2002.11,Smooth,58,58
2002.11,Higher,57,57
2002.11,The Way You Love Me,53,53
2002.11,Kryptonite,53,53
2002.11,Breathe,53,53
2002.11,Amazed,53,53
2002.11,Hanging By A Moment,52,52
2002.11,Drops Of Jupiter (Tell Me),51,51
2002.11,I Hope You Dance,48,48
2002.11,How You Remind Me,48,48
2002.12,Smooth,58,58
2002.12,Higher,57,57
2002.12,The Way You Love Me,53,53
2002.12,Kryptonite,53,53
2002.12,Amazed,53,53
2002.12,Hanging By A Moment,52,52
2002.12,Drops Of Jupiter (Tell Me),51,51
2002.12,I Hope You Dance,48,48
2002.12,How You Remind Me,48,48
2002.12,A Thousand Miles,41,41
2003.01,Smooth,58,58
2003.01,Higher,57,57
2003.01,The Way You Love Me,53,53
2003.01,Kryptonite,53,53
2003.01,Amazed,53,53
2003.01,Hanging By A Moment,52,52
2003.01,Drops Of Jupiter (Tell Me),51,51
2003.01,I Hope You Dance,48,48
2003.01,How You Remind Me,48,48
2003.01,A Thousand Miles,41,41
2003.02,Smooth,58,58
2003.02,Higher,57,57
2003.02,The Way You Love Me,53,53
2003.02,Kryptonite,53,53
2003.02,Amazed,53,53
2003.02,Hanging By A Moment,52,52
2003.02,Drops Of Jupiter (Tell Me),51,51
2003.02,I Hope You Dance,48,48
2003.02,How You Remind Me,48,48
2003.02,A Thousand Miles,41,41
2003.03,Smooth,58,58
2003.03,Higher,57,57
2003.03,The Way You Love Me,53,53
2003.03,Kryptonite,53,53
2003.03,Amazed,53,53
2003.03,Hanging By A Moment,52,52
2003.03,Drops Of Jupiter (Tell Me),51,51
2003.03,I Hope You Dance,48,48
2003.03,How You Remind Me,48,48
2003.03,A Thousand Miles,41,41
2003.04,Smooth,58,58
2003.04,Higher,57,57
2003.04,The Way You Love Me,53,53
2003.04,Kryptonite,53,53
2003.04,Amazed,53,53
2003.04,Hanging By A Moment,52,52
2003.04,Drops Of Jupiter (Tell Me),51,51
2003.04,I Hope You Dance,48,48
2003.04,How You Remind Me,48,48
2003.04,A Thousand Miles,41,41
2003.05,Smooth,58,58
2003.05,Higher,57,57
2003.05,The Way You Love Me,53,53
2003.05,Kryptonite,53,53
2003.05,Amazed,53,53
2003.05,Hanging By A Moment,52,52
2003.05,Drops Of Jupiter (Tell Me),51,51
2003.05,I Hope You Dance,48,48
2003.05,How You Remind Me,48,48
2003.05,A Thousand Miles,41,41
2003.06,Smooth,58,58
2003.06,Higher,57,57
2003.06,The Way You Love Me,53,53
2003.06,Kryptonite,53,53
2003.06,Amazed,53,53
2003.06,Hanging By A Moment,52,52
2003.06,Drops Of Jupiter (Tell Me),51,51
2003.06,I Hope You Dance,48,48
2003.06,How You Remind Me,48,48
2003.06,A Thousand Miles,41,41
2003.07,Smooth,58,58
2003.07,Higher,57,57
2003.07,The Way You Love Me,53,53
2003.07,Kryptonite,53,53
2003.07,Amazed,53,53
2003.07,Hanging By A Moment,52,52
2003.07,Drops Of Jupiter (Tell Me),51,51
2003.07,I Hope You Dance,48,48
2003.07,How You Remind Me,48,48
2003.07,A Thousand Miles,41,41
2003.08,Smooth,58,58
2003.08,Higher,57,57
2003.08,The Way You Love Me,53,53
2003.08,Kryptonite,53,53
2003.08,Amazed,53,53
2003.08,Hanging By A Moment,52,52
2003.08,Drops Of Jupiter (Tell Me),51,51
2003.08,I Hope You Dance,48,48
2003.08,How You Remind Me,48,48
2003.08,Ignition,39,39
2003.09,Smooth,58,58
2003.09,Higher,57,57
2003.09,The Way You Love Me,53,53
2003.09,Kryptonite,53,53
2003.09,Amazed,53,53
2003.09,Hanging By A Moment,52,52
2003.09,Drops Of Jupiter (Tell Me),51,51
2003.09,I Hope You Dance,48,48
2003.09,How You Remind Me,48,48
2003.09,When I'm Gone,42,42
2003.1,Smooth,58,58
2003.1,Higher,57,57
2003.1,The Way You Love Me,53,53
2003.1,Kryptonite,53,53
2003.1,Amazed,53,53
2003.1,Hanging By A Moment,52,52
2003.1,Drops Of Jupiter (Tell Me),51,51
2003.1,I Hope You Dance,48,48
2003.1,How You Remind Me,48,48
2003.1,When I'm Gone,42,42
2003.11,Smooth,58,58
2003.11,Higher,57,57
2003.11,The Way You Love Me,53,53
2003.11,Kryptonite,53,53
2003.11,Amazed,53,53
2003.11,Hanging By A Moment,52,52
2003.11,Drops Of Jupiter (Tell Me),51,51
2003.11,I Hope You Dance,48,48
2003.11,How You Remind Me,48,48
2003.11,When I'm Gone,42,42
2003.12,Smooth,58,58
2003.12,Higher,57,57
2003.12,The Way You Love Me,53,53
2003.12,Kryptonite,53,53
2003.12,Amazed,53,53
2003.12,Hanging By A Moment,52,52
2003.12,Drops Of Jupiter (Tell Me),51,51
2003.12,I Hope You Dance,48,48
2003.12,How You Remind Me,48,48
2003.12,When I'm Gone,42,42
2004.01,Smooth,58,58
2004.01,Higher,57,57
2004.01,The Way You Love Me,53,53
2004.01,Kryptonite,53,53
2004.01,Amazed,53,53
2004.01,Hanging By A Moment,52,52
2004.01,Drops Of Jupiter (Tell Me),51,51
2004.01,I Hope You Dance,48,48
2004.01,How You Remind Me,48,48
2004.01,Unwell,42,42
2004.02,Smooth,58,58
2004.02,Higher,57,57
2004.02,The Way You Love Me,53,53
2004.02,Kryptonite,53,53
2004.02,Amazed,53,53
2004.02,Hanging By A Moment,52,52
2004.02,Drops Of Jupiter (Tell Me),51,51
2004.02,I Hope You Dance,48,48
2004.02,How You Remind Me,48,48
2004.02,Unwell,47,47
2004.03,Smooth,58,58
2004.03,Higher,57,57
2004.03,The Way You Love Me,53,53
2004.03,Kryptonite,53,53
2004.03,Amazed,53,53
2004.03,Hanging By A Moment,52,52
2004.03,Unwell,51,51
2004.03,Drops Of Jupiter (Tell Me),51,51
2004.03,I Hope You Dance,48,48
2004.03,How You Remind Me,48,48
2004.04,Smooth,58,58
2004.04,Higher,57,57
2004.04,The Way You Love Me,53,53
2004.04,Kryptonite,53,53
2004.04,Amazed,53,53
2004.04,Hanging By A Moment,52,52
2004.04,Unwell,51,51
2004.04,Drops Of Jupiter (Tell Me),51,51
2004.04,I Hope You Dance,48,48
2004.04,How You Remind Me,48,48
2004.05,Smooth,58,58
2004.05,Higher,57,57
2004.05,The Way You Love Me,53,53
2004.05,Kryptonite,53,53
2004.05,Amazed,53,53
2004.05,Hanging By A Moment,52,52
2004.05,Unwell,51,51
2004.05,Drops Of Jupiter (Tell Me),51,51
2004.05,I Hope You Dance,48,48
2004.05,How You Remind Me,48,48
2004.06,Smooth,58,58
2004.06,Higher,57,57
2004.06,The Way You Love Me,53,53
2004.06,Kryptonite,53,53
2004.06,Amazed,53,53
2004.06,Hanging By A Moment,52,52
2004.06,Unwell,51,51
2004.06,Drops Of Jupiter (Tell Me),51,51
2004.06,I Hope You Dance,48,48
2004.06,How You Remind Me,48,48
2004.07,Smooth,58,58
2004.07,Higher,57,57
2004.07,The Way You Love Me,53,53
2004.07,Kryptonite,53,53
2004.07,Amazed,53,53
2004.07,Hanging By A Moment,52,52
2004.07,Unwell,51,51
2004.07,Drops Of Jupiter (Tell Me),51,51
2004.07,Someday,46,46
2004.07,Here Without You,45,45
2004.08,Smooth,58,58
2004.08,Higher,57,57
2004.08,The Way You Love Me,53,53
2004.08,Kryptonite,53,53
2004.08,Amazed,53,53
2004.08,Hanging By A Moment,52,52
2004.08,Unwell,51,51
2004.08,Drops Of Jupiter (Tell Me),51,51
2004.08,Here Without You,50,50
2004.08,Someday,46,46
2004.09,Smooth,58,58
2004.09,Higher,57,57
2004.09,The Way You Love Me,53,53
2004.09,Kryptonite,53,53
2004.09,Amazed,53,53
2004.09,Hanging By A Moment,52,52
2004.09,Unwell,51,51
2004.09,Drops Of Jupiter (Tell Me),51,51
2004.09,Here Without You,50,50
2004.09,Someday,46,46
2004.1,Smooth,58,58
2004.1,Higher,57,57
2004.1,The Way You Love Me,53,53
2004.1,Kryptonite,53,53
2004.1,Amazed,53,53
2004.1,Hanging By A Moment,52,52
2004.1,Unwell,51,51
2004.1,Drops Of Jupiter (Tell Me),51,51
2004.1,Here Without You,50,50
2004.1,Someday,46,46
2004.11,Smooth,58,58
2004.11,Higher,57,57
2004.11,The Way You Love Me,53,53
2004.11,Kryptonite,53,53
2004.11,Amazed,53,53
2004.11,Hanging By A Moment,52,52
2004.11,Unwell,51,51
2004.11,Drops Of Jupiter (Tell Me),51,51
2004.11,Here Without You,50,50
2004.11,Someday,46,46
2004.12,Smooth,58,58
2004.12,Higher,57,57
2004.12,The Way You Love Me,53,53
2004.12,Kryptonite,53,53
2004.12,Amazed,53,53
2004.12,Hanging By A Moment,52,52
2004.12,Unwell,51,51
2004.12,Drops Of Jupiter (Tell Me),51,51
2004.12,Here Without You,50,50
2004.12,Someday,46,46
2005.01,Smooth,58,58
2005.01,Higher,57,57
2005.01,The Way You Love Me,53,53
2005.01,Kryptonite,53,53
2005.01,Amazed,53,53
2005.01,Hanging By A Moment,52,52
2005.01,Unwell,51,51
2005.01,Drops Of Jupiter (Tell Me),51,51
2005.01,Here Without You,50,50
2005.01,Someday,46,46
2005.02,Smooth,58,58
2005.02,Higher,57,57
2005.02,The Way You Love Me,53,53
2005.02,Kryptonite,53,53
2005.02,Amazed,53,53
2005.02,Hanging By A Moment,52,52
2005.02,Unwell,51,51
2005.02,Drops Of Jupiter (Tell Me),51,51
2005.02,Here Without You,50,50
2005.02,Someday,46,46
2005.03,Smooth,58,58
2005.03,Higher,57,57
2005.03,The Way You Love Me,53,53
2005.03,Kryptonite,53,53
2005.03,Amazed,53,53
2005.03,Hanging By A Moment,52,52
2005.03,Unwell,51,51
2005.03,Drops Of Jupiter (Tell Me),51,51
2005.03,Here Without You,50,50
2005.03,Someday,46,46
2005.04,Smooth,58,58
2005.04,Higher,57,57
2005.04,The Way You Love Me,53,53
2005.04,Kryptonite,53,53
2005.04,Amazed,53,53
2005.04,Hanging By A Moment,52,52
2005.04,Unwell,51,51
2005.04,Drops Of Jupiter (Tell Me),51,51
2005.04,Here Without You,50,50
2005.04,Someday,46,46
2005.05,Smooth,58,58
2005.05,Higher,57,57
2005.05,The Way You Love Me,53,53
2005.05,Kryptonite,53,53
2005.05,Amazed,53,53
2005.05,Hanging By A Moment,52,52
2005.05,Unwell,51,51
2005.05,Drops Of Jupiter (Tell Me),51,51
2005.05,Here Without You,50,50
2005.05,Someday,46,46
2005.06,Smooth,58,58
2005.06,Higher,57,57
2005.06,The Way You Love Me,53,53
2005.06,Kryptonite,53,53
2005.06,Amazed,53,53
2005.06,Hanging By A Moment,52,52
2005.06,Unwell,51,51
2005.06,Drops Of Jupiter (Tell Me),51,51
2005.06,Here Without You,50,50
2005.06,Someday,46,46
2005.07,Smooth,58,58
2005.07,Higher,57,57
2005.07,The Way You Love Me,53,53
2005.07,Kryptonite,53,53
2005.07,Amazed,53,53
2005.07,Hanging By A Moment,52,52
2005.07,Unwell,51,51
2005.07,Drops Of Jupiter (Tell Me),51,51
2005.07,Here Without You,50,50
2005.07,Someday,46,46
2005.08,Smooth,58,58
2005.08,Higher,57,57
2005.08,The Way You Love Me,53,53
2005.08,Kryptonite,53,53
2005.08,Amazed,53,53
2005.08,Hanging By A Moment,52,52
2005.08,Unwell,51,51
2005.08,Drops Of Jupiter (Tell Me),51,51
2005.08,Here Without You,50,50
2005.08,Someday,46,46
2005.09,Smooth,58,58
2005.09,Higher,57,57
2005.09,The Way You Love Me,53,53
2005.09,Kryptonite,53,53
2005.09,Amazed,53,53
2005.09,Hanging By A Moment,52,52
2005.09,Unwell,51,51
2005.09,Drops Of Jupiter (Tell Me),51,51
2005.09,Here Without You,50,50
2005.09,Someday,46,46
2005.1,Smooth,58,58
2005.1,Higher,57,57
2005.1,The Way You Love Me,53,53
2005.1,Kryptonite,53,53
2005.1,Amazed,53,53
2005.1,Hanging By A Moment,52,52
2005.1,Unwell,51,51
2005.1,Drops Of Jupiter (Tell Me),51,51
2005.1,Here Without You,50,50
2005.1,Someday,46,46
2005.11,Smooth,58,58
2005.11,Higher,57,57
2005.11,The Way You Love Me,53,53
2005.11,Kryptonite,53,53
2005.11,Amazed,53,53
2005.11,Hanging By A Moment,52,52
2005.11,Unwell,51,51
2005.11,Drops Of Jupiter (Tell Me),51,51
2005.11,Here Without You,50,50
2005.11,Someday,46,46
2005.12,Smooth,58,58
2005.12,Higher,57,57
2005.12,The Way You Love Me,53,53
2005.12,Kryptonite,53,53
2005.12,Amazed,53,53
2005.12,Hanging By A Moment,52,52
2005.12,Unwell,51,51
2005.12,Drops Of Jupiter (Tell Me),51,51
2005.12,Here Without You,50,50
2005.12,Someday,46,46
2006.01,Smooth,58,58
2006.01,Higher,57,57
2006.01,The Way You Love Me,53,53
2006.01,Kryptonite,53,53
2006.01,Amazed,53,53
2006.01,Hanging By A Moment,52,52
2006.01,Unwell,51,51
2006.01,Drops Of Jupiter (Tell Me),51,51
2006.01,Here Without You,50,50
2006.01,You And Me,47,47
2006.02,Smooth,58,58
2006.02,Higher,57,57
2006.02,The Way You Love Me,53,53
2006.02,Kryptonite,53,53
2006.02,Amazed,53,53
2006.02,Hanging By A Moment,52,52
2006.02,You And Me,51,51
2006.02,Unwell,51,51
2006.02,Drops Of Jupiter (Tell Me),51,51
2006.02,Here Without You,50,50
2006.03,Smooth,58,58
2006.03,Higher,57,57
2006.03,You And Me,55,55
2006.03,The Way You Love Me,53,53
2006.03,Kryptonite,53,53
2006.03,Amazed,53,53
2006.03,Hanging By A Moment,52,52
2006.03,Unwell,51,51
2006.03,Drops Of Jupiter (Tell Me),51,51
2006.03,Here Without You,50,50
2006.04,You And Me,59,59
2006.04,Smooth,58,58
2006.04,Higher,57,57
2006.04,The Way You Love Me,53,53
2006.04,Kryptonite,53,53
2006.04,Amazed,53,53
2006.04,Hanging By A Moment,52,52
2006.04,Unwell,51,51
2006.04,Drops Of Jupiter (Tell Me),51,51
2006.04,Here Without You,50,50
2006.05,You And Me,59,59
2006.05,Smooth,58,58
2006.05,Higher,57,57
2006.05,The Way You Love Me,53,53
2006.05,Kryptonite,53,53
2006.05,Amazed,53,53
2006.05,Hanging By A Moment,52,52
2006.05,Unwell,51,51
2006.05,Drops Of Jupiter (Tell Me),51,51
2006.05,Here Without You,50,50
2006.06,You And Me,59,59
2006.06,Smooth,58,58
2006.06,Higher,57,57
2006.06,The Way You Love Me,53,53
2006.06,Kryptonite,53,53
2006.06,Amazed,53,53
2006.06,Hanging By A Moment,52,52
2006.06,Unwell,51,51
2006.06,Drops Of Jupiter (Tell Me),51,51
2006.06,Here Without You,50,50
2006.07,You And Me,59,59
2006.07,Smooth,58,58
2006.07,Higher,57,57
2006.07,The Way You Love Me,53,53
2006.07,Kryptonite,53,53
2006.07,Amazed,53,53
2006.07,Hanging By A Moment,52,52
2006.07,Unwell,51,51
2006.07,Drops Of Jupiter (Tell Me),51,51
2006.07,Here Without You,50,50
2006.08,You And Me,59,59
2006.08,Smooth,58,58
2006.08,Higher,57,57
2006.08,The Way You Love Me,53,53
2006.08,Kryptonite,53,53
2006.08,Amazed,53,53
2006.08,Hanging By A Moment,52,52
2006.08,Unwell,51,51
2006.08,Drops Of Jupiter (Tell Me),51,51
2006.08,Here Without You,50,50
2006.09,You And Me,59,59
2006.09,Smooth,58,58
2006.09,Higher,57,57
2006.09,The Way You Love Me,53,53
2006.09,Kryptonite,53,53
2006.09,Amazed,53,53
2006.09,Hanging By A Moment,52,52
2006.09,Unwell,51,51
2006.09,Drops Of Jupiter (Tell Me),51,51
2006.09,Here Without You,50,50
2006.1,You And Me,59,59
2006.1,Smooth,58,58
2006.1,Higher,57,57
2006.1,The Way You Love Me,53,53
2006.1,Kryptonite,53,53
2006.1,Amazed,53,53
2006.1,Hanging By A Moment,52,52
2006.1,Unwell,51,51
2006.1,Drops Of Jupiter (Tell Me),51,51
2006.1,Here Without You,50,50
2006.11,You And Me,59,59
2006.11,Smooth,58,58
2006.11,Higher,57,57
2006.11,The Way You Love Me,53,53
2006.11,Kryptonite,53,53
2006.11,Amazed,53,53
2006.11,Hanging By A Moment,52,52
2006.11,Unwell,51,51
2006.11,Drops Of Jupiter (Tell Me),51,51
2006.11,Here Without You,50,50
2006.12,You And Me,59,59
2006.12,Smooth,58,58
2006.12,Higher,57,57
2006.12,The Way You Love Me,53,53
2006.12,Kryptonite,53,53
2006.12,Amazed,53,53
2006.12,Hanging By A Moment,52,52
2006.12,Unwell,51,51
2006.12,Drops Of Jupiter (Tell Me),51,51
2006.12,Here Without You,50,50
2007.01,You And Me,59,59
2007.01,Smooth,58,58
2007.01,Higher,57,57
2007.01,The Way You Love Me,53,53
2007.01,Kryptonite,53,53
2007.01,Amazed,53,53
2007.01,Hanging By A Moment,52,52
2007.01,Unwell,51,51
2007.01,Drops Of Jupiter (Tell Me),51,51
2007.01,Here Without You,50,50
2007.02,You And Me,59,59
