year,rank,mean,song,artist,occ
2000,1,10.807692307692308,Say My Name,Destiny's Child,110
2000,2,8.48076923076923,Say My Name,Destiny's Child,110
2000,3,5.153846153846154,Say My Name,Destiny's Child,110
2000,4,4.576923076923077,Come On Over Baby (All I Want Is You),Christina Aguilera,24
2000,5,9.576923076923077,Say My Name,Destiny's Child,110
2000,6,3.2115384615384617,I Try,Macy Gray,14
2000,7,5.365384615384615,Say My Name,Destiny's Child,110
2000,8,3.326923076923077,Come On Over Baby (All I Want Is You),Christina Aguilera,24
2000,9,4.653846153846154,Oops!...I Did It Again,Britney Spears,27
2000,10,6.288461538461538,Say My Name,Destiny's Child,110
2001,1,6.134615384615385,How You Remind Me,Nickelback,26
2001,2,5.346153846153846,Lady Marmalade,"Christina Aguilera, Lil' Kim, Mya & P!nk",18
2001,3,4.769230769230769,How You Remind Me,Nickelback,26
2001,4,4.115384615384615,Missing You,Case,40
2001,5,3.826923076923077,Missing You,Case,40
2001,6,2.75,Missing You,Case,40
2001,7,3.2884615384615383,Lady Marmalade,"Christina Aguilera, Lil' Kim, Mya & P!nk",18
2001,8,2.8653846153846154,Missing You,Case,40
2001,9,3.1923076923076925,How You Remind Me,Nickelback,26
2001,10,3.4615384615384617,Lady Marmalade,"Christina Aguilera, Lil' Kim, Mya & P!nk",18
2002,1,1.9615384615384615,How You Remind Me,Nickelback,26
2002,2,5.9423076923076925,How You Remind Me,Nickelback,26
2002,3,3.5833333333333335,How You Remind Me,Nickelback,26
2002,4,2.7346938775510203,How You Remind Me,Nickelback,26
2002,5,1.6304347826086956,What's Luv?,Fat Joe Featuring Ashanti,10
2002,6,1.8125,How You Remind Me,Nickelback,26
2002,7,1.183673469387755,U Don't Have To Call,Usher,13
2002,8,2.1020408163265305,U Don't Have To Call,Usher,13
2002,9,2.14,How You Remind Me,Nickelback,26
2002,10,2.04,Sk8er Boi,Avril Lavigne,36
2003,1,4.461538461538462,All I Have,Jennifer Lopez Featuring LL Cool J,12
2003,2,3.7884615384615383,All I Have,Jennifer Lopez Featuring LL Cool J,12
2003,3,2.7551020408163267,All I Have,Jennifer Lopez Featuring LL Cool J,12
2003,4,3.6956521739130435,I'm With You,Avril Lavigne,12
2003,5,4.127659574468085,All I Have,Jennifer Lopez Featuring LL Cool J,12
2003,6,4.688888888888889,Beautiful,Snoop Dogg Featuring Pharrell & Uncle Charlie Wilson,49
