year,rank,mean,song,artist,occ
2000,1,1.4230769230769231,Doesn't Really Matter,Janet,11
2000,2,1.8269230769230769,Doesn't Really Matter,Janet,11
2000,3,1.7307692307692308,Doesn't Really Matter,Janet,11
2000,4,1.6538461538461537,My Love Is Your Love,Whitney Houston,8
2000,5,1.3653846153846154,Doesn't Really Matter,Janet,11
2000,6,1.1923076923076923,My Love Is Your Love,Whitney Houston,8
2000,7,1.0,Doesn't Really Matter,Janet,11
2000,8,1.1538461538461537,Doesn't Really Matter,Janet,11
2000,9,1.2307692307692308,Try Again,Aaliyah,6
2000,10,1.4038461538461537,Doesn't Really Matter,Janet,11
2001,1,4.3076923076923075,Stutter,Joe Featuring Mystikal,20
2001,2,3.673076923076923,Stutter,Joe Featuring Mystikal,20
2001,3,0.9423076923076923,Stutter,Joe Featuring Mystikal,20
2001,4,1.8653846153846154,Stutter,Joe Featuring Mystikal,20
2001,5,0.6730769230769231,Bootylicious,Destiny's Child,11
2001,6,0.8653846153846154,I'm Real,Jennifer Lopez Featuring Ja Rule,18
2001,7,1.7692307692307692,Stutter,Joe Featuring Mystikal,20
2001,8,1.6538461538461537,Stutter,Joe Featuring Mystikal,20
2001,9,2.75,Stutter,Joe Featuring Mystikal,20
2001,10,1.4615384615384615,I'm Real,Jennifer Lopez Featuring Ja Rule,18
2002,1,1.6923076923076923,Dilemma,Nelly Featuring Kelly Rowland,3
2002,2,2.2884615384615383,Without Me,Eminem,15
2002,3,1.5,U Don't Have To Call,Usher,14
2002,4,3.36734693877551,Without Me,Eminem,15
2002,5,1.6304347826086956,Hey Ma,"Cam'Ron Featuring Juelz Santana, Freekey Zekey & Toya",6
2002,6,2.0,Without Me,Eminem,15
2002,7,0.9795918367346939,U Don't Have To Call,Usher,14
2002,8,1.9591836734693877,U Don't Have To Call,Usher,14
2002,9,1.94,Without Me,Eminem,15
2002,10,1.42,U Don't Have To Call,Usher,14
2003,1,1.3269230769230769,Shake Ya Tailfeather,"Nelly, P. Diddy & Murphy Lee",5
