year,rank,mean,song,artist,occ
2003,2,0.9807692307692307,Shake Ya Tailfeather,"Nelly, P. Diddy & Murphy Lee",5
2003,3,1.1428571428571428,Shake Ya Tailfeather,"Nelly, P. Diddy & Murphy Lee",5
2003,4,1.0434782608695652,P.I.M.P.,50 Cent,5
2003,5,1.0638297872340425,You Don't Know My Name,Alicia Keys,5
2003,6,0.5555555555555556,P.I.M.P.,50 Cent,5
2003,7,1.625,P.I.M.P.,50 Cent,5
2003,8,1.3673469387755102,Shake Ya Tailfeather,"Nelly, P. Diddy & Murphy Lee",5
2003,9,1.2173913043478262,You Don't Know My Name,Alicia Keys,5
2003,10,1.0,P.I.M.P.,50 Cent,5
2004,1,3.4423076923076925,Goodies,Ciara Featuring Petey Pablo,9
2004,2,1.2115384615384615,Goodies,Ciara Featuring Petey Pablo,9
2004,3,1.9615384615384615,Over And Over,Nelly Featuring Tim McGraw,9
2004,4,1.9807692307692308,Over And Over,Nelly Featuring Tim McGraw,9
2004,5,1.6538461538461537,Over And Over,Nelly Featuring Tim McGraw,9
2004,6,1.25,Goodies,Ciara Featuring Petey Pablo,9
2004,7,0.9230769230769231,Wonderful,Ja Rule Featuring R. Kelly & Ashanti,6
2004,8,1.0,Over And Over,Nelly Featuring Tim McGraw,9
2004,9,0.6153846153846154,Wonderful,Ja Rule Featuring R. Kelly & Ashanti,6
2004,10,1.1730769230769231,Goodies,Ciara Featuring Petey Pablo,9
2005,1,2.3846153846153846,Hollaback Girl,Gwen Stefani,8
2005,2,2.2884615384615383,Hollaback Girl,Gwen Stefani,8
2005,3,1.7692307692307692,Hollaback Girl,Gwen Stefani,8
2005,4,2.019230769230769,Hollaback Girl,Gwen Stefani,8
2005,5,1.3076923076923077,Like You,Bow Wow Featuring Ciara,7
2005,6,1.5961538461538463,Hollaback Girl,Gwen Stefani,8
2005,7,1.8846153846153846,Over And Over,Nelly Featuring Tim McGraw,9
2005,8,1.0576923076923077,Soul Survivor,Young Jeezy Featuring Akon,6
2005,9,1.4807692307692308,Hollaback Girl,Gwen Stefani,8
2005,10,1.2692307692307692,Over And Over,Nelly Featuring Tim McGraw,9
2006,1,2.326923076923077,SOS,Rihanna,9
2006,2,1.4230769230769231,London Bridge,Fergie,4
2006,3,1.6346153846153846,SOS,Rihanna,9
2006,4,1.8235294117647058,Deja Vu,Beyonce Featuring Jay Z,10
2006,5,1.7692307692307692,SOS,Rihanna,9
2006,6,0.9807692307692307,Deja Vu,Beyonce Featuring Jay Z,10
2006,7,1.2666666666666666,SOS,Rihanna,9
2006,8,1.2448979591836735,Far Away,Nickelback,6
2006,9,1.255813953488372,Shortie Like Mine,Bow Wow Featuring Chris Brown & Johnta Austin,9
2006,10,2.0833333333333335,Say Goodbye,Chris Brown,13
2007,1,2.9038461538461537,Don't Matter,Akon,26
2007,2,3.3076923076923075,Don't Matter,Akon,26
2007,3,3.2115384615384617,Don't Matter,Akon,26
2007,4,2.1538461538461537,This Is Why I'm Hot,Mims,18
2007,5,3.0961538461538463,Don't Matter,Akon,26
2007,6,2.3461538461538463,This Is Why I'm Hot,Mims,18
2007,7,1.6730769230769231,Clumsy,Fergie,9
2007,8,2.730769230769231,Don't Matter,Akon,26
2007,9,2.5384615384615383,Don't Matter,Akon,26
2007,10,1.4615384615384615,Break It Off,Rihanna & Sean Paul,11
2008,1,0.5769230769230769,Single Ladies (Put A Ring On It),Beyonce,8
2008,2,1.75,Single Ladies (Put A Ring On It),Beyonce,8
2008,3,1.2115384615384615,If I Were A Boy,Beyonce,7
2008,4,1.7307692307692308,Love Song,Sara Bareilles,13
2008,5,2.519230769230769,Love Song,Sara Bareilles,13
2008,6,1.75,Love Song,Sara Bareilles,13
2008,7,0.9423076923076923,Clumsy,Fergie,9
2008,8,1.7692307692307692,Love Song,Sara Bareilles,13
2008,9,3.4423076923076925,Love Song,Sara Bareilles,13
2008,10,1.4615384615384615,Love Song,Sara Bareilles,13
2009,1,1.3461538461538463,Fireflies,Owl City,9
2009,2,2.5961538461538463,Fireflies,Owl City,9
2009,3,1.8461538461538463,Fireflies,Owl City,9
2009,4,1.3269230769230769,Fireflies,Owl City,9
2009,5,1.3461538461538463,Fireflies,Owl City,9
2009,6,1.3461538461538463,Whatcha Say,Jason Derulo,5
2009,7,1.5192307692307692,Fireflies,Owl City,9
2009,8,0.8653846153846154,My Life Would Suck Without You,Kelly Clarkson,4
2009,9,1.0384615384615385,Fireflies,Owl City,9
2009,10,1.6153846153846154,Every Girl,Young Money,7
2010,1,1.8269230769230769,What's My Name?,Rihanna Featuring Drake,6
2010,2,2.076923076923077,Dynamite,Taio Cruz,10
2010,3,2.1538461538461537,Dynamite,Taio Cruz,10
2010,4,1.7307692307692308,Dynamite,Taio Cruz,10
2010,5,2.4038461538461537,Dynamite,Taio Cruz,10
2010,6,2.0,Dynamite,Taio Cruz,10
2010,7,1.6538461538461537,Dynamite,Taio Cruz,10
2010,8,1.7307692307692308,Dynamite,Taio Cruz,10
2010,9,1.6538461538461537,Dynamite,Taio Cruz,10
2010,10,0.9615384615384616,Say Aah,Trey Songz Featuring Fabolous,5
2011,1,1.6153846153846154,S&M,Rihanna Featuring Britney Spears,8
2011,2,1.8461538461538463,S&M,Rihanna Featuring Britney Spears,8
2011,3,1.6923076923076923,S&M,Rihanna Featuring Britney Spears,8
2011,4,1.6923076923076923,The Lazy Song,Bruno Mars,8
2011,5,1.6538461538461537,The Lazy Song,Bruno Mars,8
2011,6,1.5769230769230769,The Lazy Song,Bruno Mars,8
2011,7,1.4423076923076923,The Lazy Song,Bruno Mars,8
2011,8,1.1538461538461537,S&M,Rihanna Featuring Britney Spears,8
2011,9,1.9807692307692308,The Lazy Song,Bruno Mars,8
2011,10,1.8269230769230769,Look At Me Now,Chris Brown Featuring Lil Wayne & Busta Rhymes,6
2012,1,0.9807692307692307,Locked Out Of Heaven,Bruno Mars,6
2012,2,1.4423076923076923,Locked Out Of Heaven,Bruno Mars,6
2012,3,0.8269230769230769,Set Fire To The Rain,Adele,6
2012,4,1.1153846153846154,Locked Out Of Heaven,Bruno Mars,6
2012,5,0.7692307692307693,Starships,Nicki Minaj,4
2012,6,1.4038461538461537,Locked Out Of Heaven,Bruno Mars,6
2012,7,1.2307692307692308,Locked Out Of Heaven,Bruno Mars,6
2012,8,1.2115384615384615,Set Fire To The Rain,Adele,6
2012,9,1.0384615384615385,Starships,Nicki Minaj,4
2012,10,1.1153846153846154,Stronger (What Doesn't Kill You),Kelly Clarkson,4
2013,1,1.1923076923076923,Roar,Katy Perry,8
2013,2,2.480769230769231,Mirrors,Justin Timberlake,11
2013,3,2.019230769230769,Mirrors,Justin Timberlake,11
2013,4,1.3846153846153846,Mirrors,Justin Timberlake,11
2013,5,1.5961538461538463,Mirrors,Justin Timberlake,11
2013,6,0.5192307692307693,"Hold On, We're Going Home",Drake Featuring Majid Jordan,6
2013,7,2.173076923076923,Mirrors,Justin Timberlake,11
2013,8,0.7884615384615384,"Hold On, We're Going Home",Drake Featuring Majid Jordan,6
2013,9,1.5576923076923077,Mirrors,Justin Timberlake,11
2013,10,1.2692307692307692,Mirrors,Justin Timberlake,11
2014,1,2.1923076923076925,Blank Space,Taylor Swift,7
2014,2,1.9807692307692308,All Of Me,John Legend,6
2014,3,1.6346153846153846,Uptown Funk!,Mark Ronson Featuring Bruno Mars,6
2014,4,1.1730769230769231,Lips Are Movin,Meghan Trainor,7
2014,5,1.1153846153846154,Uptown Funk!,Mark Ronson Featuring Bruno Mars,6
2014,6,1.2884615384615385,All Of Me,John Legend,6
2014,7,1.9230769230769231,Break Free,Ariana Grande Featuring Zedd,6
2014,8,2.25,Roar,Katy Perry,8
2014,9,1.6862745098039216,Jealous,Nick Jonas,7
2014,10,1.6862745098039216,A Sky Full Of Stars,Coldplay,13
2015,1,2.4615384615384617,Blank Space,Taylor Swift,7
2015,2,2.519230769230769,Sugar,Maroon 5,9
2015,3,2.076923076923077,Earned It (Fifty Shades Of Grey),The Weeknd,10
2015,4,2.1538461538461537,Earned It (Fifty Shades Of Grey),The Weeknd,10
2015,5,2.423076923076923,Earned It (Fifty Shades Of Grey),The Weeknd,10
2015,6,2.9423076923076925,Earned It (Fifty Shades Of Grey),The Weeknd,10
2015,7,2.9423076923076925,Earned It (Fifty Shades Of Grey),The Weeknd,10
2015,8,2.0576923076923075,Earned It (Fifty Shades Of Grey),The Weeknd,10
2015,9,2.1538461538461537,Earned It (Fifty Shades Of Grey),The Weeknd,10
2015,10,1.7884615384615385,Earned It (Fifty Shades Of Grey),The Weeknd,10
2016,1,1.2830188679245282,Love Yourself,Justin Bieber,6
2016,2,1.8113207547169812,Love Yourself,Justin Bieber,6
2016,3,1.320754716981132,Love Yourself,Justin Bieber,6
2016,4,1.0566037735849056,Side To Side,Ariana Grande Featuring Nicki Minaj,7
2016,5,1.3018867924528301,Side To Side,Ariana Grande Featuring Nicki Minaj,7
2016,6,0.8490566037735849,Side To Side,Ariana Grande Featuring Nicki Minaj,7
2016,7,1.0,Side To Side,Ariana Grande Featuring Nicki Minaj,7
2016,8,1.1,Side To Side,Ariana Grande Featuring Nicki Minaj,7
2016,9,0.8301886792452831,Love Yourself,Justin Bieber,6
2016,10,1.3673469387755102,Formation,Beyonce,12
2017,1,0.15384615384615385,Perfect,Ed Sheeran,1
2017,2,0.9423076923076923,Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller,6
2017,3,0.23076923076923078,Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller,6
2017,4,0.5961538461538461,Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller,6
2017,5,0.38461538461538464,iSpy,KYLE Featuring Lil Yachty,4
2017,6,1.2115384615384615,Side To Side,Ariana Grande Featuring Nicki Minaj,7
2017,7,0.6730769230769231,Side To Side,Ariana Grande Featuring Nicki Minaj,7
2017,8,1.0384615384615385,Sorry Not Sorry,Demi Lovato,4
2017,9,0.6923076923076923,Side To Side,Ariana Grande Featuring Nicki Minaj,7
2017,10,0.7884615384615384,Sorry Not Sorry,Demi Lovato,4
2018,1,2.3653846153846154,In My Feelings,Drake,9
2018,2,0.6153846153846154,In My Feelings,Drake,9
2018,3,0.8076923076923077,Better Now,Post Malone,8
2018,4,1.2307692307692308,In My Feelings,Drake,9
2018,5,1.6346153846153846,Better Now,Post Malone,8
2018,6,1.1923076923076923,In My Feelings,Drake,9
2018,7,1.4615384615384615,Better Now,Post Malone,8
2018,8,1.1346153846153846,The Ringer,Eminem,12
2018,9,1.0961538461538463,In My Feelings,Drake,9
2018,10,0.75,Youngblood,5 Seconds Of Summer,4
2019,1,0.5961538461538461,Heartless,The Weeknd,12
2019,2,1.4038461538461537,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,8
2019,3,0.8846153846153846,I Don't Care,Ed Sheeran & Justin Bieber,7
2019,4,1.3846153846153846,Memories,Maroon 5,7
2019,5,1.1538461538461537,Memories,Maroon 5,7
2019,6,1.4038461538461537,I Don't Care,Ed Sheeran & Justin Bieber,7
2019,7,1.5961538461538463,Memories,Maroon 5,7
2019,8,1.2692307692307692,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,8
2019,9,0.9423076923076923,Memories,Maroon 5,7
2019,10,0.9230769230769231,Better Now,Post Malone,8
2020,1,1.3846153846153846,Dynamite,BTS,5
2020,2,1.1923076923076923,Memories,Maroon 5,7
2020,3,1.3846153846153846,Godzilla,Eminem Featuring Juice WRLD,6
2020,4,1.6346153846153846,Heartless,The Weeknd,12
2020,5,0.9615384615384616,Memories,Maroon 5,7
2020,6,0.7884615384615384,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,3
2020,7,0.8846153846153846,Memories,Maroon 5,7
2020,8,0.6730769230769231,Positions,Ariana Grande,3
2020,9,1.4230769230769231,Memories,Maroon 5,7
2020,10,0.9038461538461539,Dynamite,BTS,5
2021,1,2.4423076923076925,Permission To Dance,BTS,8
2021,2,0.7692307692307693,Girls Want Girls,Drake Featuring Lil Baby,6
2021,3,0.8269230769230769,Drivers License,Olivia Rodrigo,8
2021,4,0.8846153846153846,Drivers License,Olivia Rodrigo,8
2021,5,1.2307692307692308,Drivers License,Olivia Rodrigo,8
2021,6,0.8076923076923077,Go Crazy,Chris Brown & Young Thug,4
2021,7,0.9607843137254902,Permission To Dance,BTS,8
2021,8,0.6153846153846154,Go Crazy,Chris Brown & Young Thug,4
2021,9,1.0576923076923077,Permission To Dance,BTS,8
2021,10,0.9615384615384616,Drivers License,Olivia Rodrigo,8
