year,rank,mean,song,artist,occ
2000,1,6.519230769230769,Doesn't Really Matter,Janet,32
2000,2,4.25,Doesn't Really Matter,Janet,32
2000,3,3.1538461538461537,Doesn't Really Matter,Janet,32
2000,4,3.1153846153846154,My Love Is Your Love,Whitney Houston,28
2000,5,5.25,Doesn't Really Matter,Janet,32
2000,6,3.7884615384615383,My Love Is Your Love,Whitney Houston,28
2000,7,4.4423076923076925,The Way You Love Me,Faith Hill,32
2000,8,6.115384615384615,The Way You Love Me,Faith Hill,32
2000,9,3.8076923076923075,The Way You Love Me,Faith Hill,32
2000,10,6.75,The Way You Love Me,Faith Hill,32
2001,1,3.673076923076923,Fallin',Alicia Keys,17
2001,2,4.75,Loverboy,Mariah Carey Featuring Cameo,27
2001,3,5.326923076923077,He Loves U Not,Dream,19
2001,4,3.326923076923077,Differences,Ginuwine,18
2001,5,3.1153846153846154,Someone To Call My Lover,Janet,17
2001,6,3.25,The Way You Love Me,Faith Hill,32
2001,7,5.076923076923077,The Way You Love Me,Faith Hill,32
2001,8,3.6538461538461537,The Way You Love Me,Faith Hill,32
2001,9,3.269230769230769,Loverboy,Mariah Carey Featuring Cameo,27
2001,10,7.038461538461538,The Way You Love Me,Faith Hill,32
2002,1,3.423076923076923,Ain't It Funny,Jennifer Lopez Featuring Ja Rule,9
2002,2,7.884615384615385,What's Luv?,Fat Joe Featuring Ashanti,30
2002,3,6.270833333333333,What's Luv?,Fat Joe Featuring Ashanti,30
2002,4,3.2653061224489797,I Need A Girl (Part One),P. Diddy Featuring Usher & Loon,29
2002,5,3.4782608695652173,What's Luv?,Fat Joe Featuring Ashanti,30
2002,6,2.3541666666666665,I Need A Girl (Part One),P. Diddy Featuring Usher & Loon,29
2002,7,2.6530612244897958,What's Luv?,Fat Joe Featuring Ashanti,30
2002,8,2.673469387755102,What's Luv?,Fat Joe Featuring Ashanti,30
2002,9,2.32,Differences,Ginuwine,18
2002,10,2.38,Differences,Ginuwine,18
2003,1,9.403846153846153,Crazy In Love,Beyonce Featuring Jay Z,22
2003,2,5.211538461538462,The Way You Move,OutKast Featuring Sleepy Brown,29
2003,3,6.489795918367347,The Way You Move,OutKast Featuring Sleepy Brown,29
2003,4,3.5217391304347827,The Way You Move,OutKast Featuring Sleepy Brown,29
2003,5,6.25531914893617,The Way You Move,OutKast Featuring Sleepy Brown,29
2003,6,2.933333333333333,Mesmerize,Ja Rule Featuring Ashanti,27
2003,7,3.6875,The Way You Move,OutKast Featuring Sleepy Brown,29
2003,8,6.26530612244898,Where Is The Love?,The Black Eyed Peas,41
2003,9,7.1521739130434785,Where Is The Love?,The Black Eyed Peas,41
2003,10,8.0,Where Is The Love?,The Black Eyed Peas,41
2004,1,1.8653846153846154,The Way You Move,OutKast Featuring Sleepy Brown,29
2004,2,5.346153846153846,The Way You Move,OutKast Featuring Sleepy Brown,29
2004,3,4.480769230769231,The Way You Move,OutKast Featuring Sleepy Brown,29
2004,4,3.230769230769231,The Way You Move,OutKast Featuring Sleepy Brown,29
2004,5,2.8461538461538463,Let Me Love You,Mario,21
2004,6,3.923076923076923,Naughty Girl,Beyonce,20
2004,7,3.480769230769231,The Way You Move,OutKast Featuring Sleepy Brown,29
2004,8,2.230769230769231,The Way You Move,OutKast Featuring Sleepy Brown,29
2004,9,2.6346153846153846,Let Me Love You,Mario,21
2004,10,1.8461538461538463,Lovers And Friends,Lil Jon & The East Side Boyz Featuring Usher & Ludacris,14
2005,1,4.5,Let Me Love You,Mario,21
