year,rank,mean,song,artist,occ
2000,1,3.0961538461538463,Independent Women Part I,Destiny's Child,18
2000,2,1.6923076923076923,Give Me Just One Night (Una Noche),98 Degrees,11
2000,3,1.4807692307692308,Give Me Just One Night (Una Noche),98 Degrees,11
2000,4,1.4038461538461537,Try Again,Aaliyah,6
2000,5,1.8653846153846154,Independent Women Part I,Destiny's Child,18
2000,6,2.0,Ms. Jackson,OutKast,11
2000,7,2.0,Independent Women Part I,Destiny's Child,18
2000,8,1.3461538461538463,Auld Lang Syne,Kenny G,9
2000,9,1.7692307692307692,Ms. Jackson,OutKast,11
2000,10,1.25,There You Go,P!nk,6
2001,1,3.3653846153846154,Independent Women Part I,Destiny's Child,18
2001,2,2.4615384615384617,Independent Women Part I,Destiny's Child,18
2001,3,2.0,Independent Women Part I,Destiny's Child,18
2001,4,1.6730769230769231,Hit 'Em Up Style (Oops!),Blu Cantrell,5
2001,5,1.4230769230769231,Ms. Jackson,OutKast,11
2001,6,1.3269230769230769,Ms. Jackson,OutKast,11
2001,7,2.173076923076923,Independent Women Part I,Destiny's Child,18
2001,8,1.8653846153846154,Hit 'Em Up Style (Oops!),Blu Cantrell,5
2001,9,1.4807692307692308,Always On Time,Ja Rule Featuring Ashanti,15
2001,10,1.8846153846153846,Independent Women Part I,Destiny's Child,18
2002,1,3.076923076923077,Always On Time,Ja Rule Featuring Ashanti,15
2002,2,3.4423076923076925,Always On Time,Ja Rule Featuring Ashanti,15
2002,3,3.2916666666666665,Always On Time,Ja Rule Featuring Ashanti,15
2002,4,2.306122448979592,Always On Time,Ja Rule Featuring Ashanti,15
2002,5,2.608695652173913,Always On Time,Ja Rule Featuring Ashanti,15
2002,6,2.1875,Always On Time,Ja Rule Featuring Ashanti,15
2002,7,2.142857142857143,Long Time Gone,Dixie Chicks,21
2002,8,1.346938775510204,Die Another Day,Madonna,5
2002,9,1.42,Always On Time,Ja Rule Featuring Ashanti,15
2002,10,1.2,Die Another Day,Madonna,5
2003,1,3.576923076923077,Baby Boy,Beyonce Featuring Sean Paul,9
2003,2,1.7307692307692308,Baby Boy,Beyonce Featuring Sean Paul,9
2003,3,1.653061224489796,Baby Boy,Beyonce Featuring Sean Paul,9
2003,4,2.0652173913043477,Baby Boy,Beyonce Featuring Sean Paul,9
2003,5,2.404255319148936,Baby Boy,Beyonce Featuring Sean Paul,9
2003,6,1.8,Get Low,Lil Jon & The East Side Boyz Featuring Ying Yang Twins,7
2003,7,1.3958333333333333,Get Low,Lil Jon & The East Side Boyz Featuring Ying Yang Twins,7
2003,8,1.510204081632653,Get Low,Lil Jon & The East Side Boyz Featuring Ying Yang Twins,7
2003,9,1.891304347826087,Baby Boy,Beyonce Featuring Sean Paul,9
2003,10,2.0,Get Low,Lil Jon & The East Side Boyz Featuring Ying Yang Twins,7
2004,1,0.6538461538461539,My Boo,Usher And Alicia Keys,4
