year,rank,mean,song,artist,occ
2000,1,0.0,Independent Women Part I,Destiny's Child,0
2000,2,0.0,He Loves U Not,Dream,0
2000,3,0.17307692307692307,Thong Song,Sisqo,3
2000,4,0.23076923076923078,Thong Song,Sisqo,3
2000,5,0.15384615384615385,Hot Boyz,"Missy ""Misdemeanor"" Elliott Featuring NAS, EVE & Q-Tip",5
2000,6,0.1346153846153846,Thong Song,Sisqo,3
2000,7,0.4423076923076923,Hot Boyz,"Missy ""Misdemeanor"" Elliott Featuring NAS, EVE & Q-Tip",5
2000,8,0.17307692307692307,Hot Boyz,"Missy ""Misdemeanor"" Elliott Featuring NAS, EVE & Q-Tip",5
2000,9,0.038461538461538464,Bag Lady,Erykah Badu,1
2000,10,0.17307692307692307,Hot Boyz,"Missy ""Misdemeanor"" Elliott Featuring NAS, EVE & Q-Tip",5
2001,1,0.46153846153846156,I'm Real,Jennifer Lopez Featuring Ja Rule,4
2001,2,0.6923076923076923,I'm Real,Jennifer Lopez Featuring Ja Rule,4
2001,3,0.2692307692307692,Ride Wit Me,Nelly Featuring City Spud,4
2001,4,0.5192307692307693,I'm Real,Jennifer Lopez Featuring Ja Rule,4
2001,5,0.5576923076923077,Ride Wit Me,Nelly Featuring City Spud,4
2001,6,0.17307692307692307,I'm Real,Jennifer Lopez Featuring Ja Rule,4
2001,7,0.4230769230769231,I'm Real,Jennifer Lopez Featuring Ja Rule,4
2001,8,0.5192307692307693,Izzo (H.O.V.A.),JAY-Z,4
2001,9,0.6153846153846154,Izzo (H.O.V.A.),JAY-Z,4
2001,10,0.40384615384615385,I'm Real,Jennifer Lopez Featuring Ja Rule,4
2002,1,0.038461538461538464,Always On Time,Ja Rule Featuring Ashanti,1
2002,2,0.19230769230769232,What's Luv?,Fat Joe Featuring Ashanti,1
2002,3,0.20833333333333334,U Don't Have To Call,Usher,3
2002,4,0.5714285714285714,Oh Boy,Cam'Ron Featuring Juelz Santana,4
2002,5,0.1956521739130435,Oh Boy,Cam'Ron Featuring Juelz Santana,4
2002,6,0.25,Oh Boy,Cam'Ron Featuring Juelz Santana,4
2002,7,0.10204081632653061,U Don't Have To Call,Usher,3
2002,8,0.3877551020408163,Don't Mess With My Man,Nivea Featuring Brian & Brandon Casey,4
2002,9,0.26,Don't Mess With My Man,Nivea Featuring Brian & Brandon Casey,4
2002,10,1.36,Nothin',N.O.R.E.,16
2003,1,1.8846153846153846,In Da Club,50 Cent,10
2003,2,1.0961538461538463,In Da Club,50 Cent,10
2003,3,0.9183673469387755,P.I.M.P.,50 Cent,6
2003,4,1.8478260869565217,In Da Club,50 Cent,10
2003,5,0.7872340425531915,Damn!,YoungBloodZ Featuring Lil Jon,5
2003,6,1.0,In Da Club,50 Cent,10
2003,7,0.9375,P.I.M.P.,50 Cent,6
2003,8,1.0816326530612246,In Da Club,50 Cent,10
2003,9,0.8043478260869565,In Da Club,50 Cent,10
2003,10,0.5208333333333334,P.I.M.P.,50 Cent,6
2004,1,1.7307692307692308,Lean Back,Terror Squad,20
2004,2,2.923076923076923,Lean Back,Terror Squad,20
2004,3,2.019230769230769,Lean Back,Terror Squad,20
2004,4,1.0769230769230769,Lean Back,Terror Squad,20
2004,5,0.5769230769230769,Dirt Off Your Shoulder,JAY-Z,14
2004,6,0.5961538461538461,Dirt Off Your Shoulder,JAY-Z,14
2004,7,2.480769230769231,Lean Back,Terror Squad,20
2004,8,1.75,Let's Go,Trick Daddy Featuring Lil Jon & Twista,16
2004,9,1.6153846153846154,Lean Back,Terror Squad,20
2004,10,1.7115384615384615,Let's Go,Trick Daddy Featuring Lil Jon & Twista,16
2005,1,1.1538461538461537,Gold Digger,Kanye West Featuring Jamie Foxx,6
2005,2,0.7884615384615384,Gold Digger,Kanye West Featuring Jamie Foxx,6
