year,rank,mean,song,artist,occ
2000,1,2.1923076923076925,What A Girl Wants,Christina Aguilera,31
2000,2,2.7884615384615383,What A Girl Wants,Christina Aguilera,31
2000,3,4.096153846153846,What A Girl Wants,Christina Aguilera,31
2000,4,5.0576923076923075,What A Girl Wants,Christina Aguilera,31
2000,5,3.5961538461538463,Most Girls,P!nk,19
2000,6,3.2115384615384617,Most Girls,P!nk,19
2000,7,2.1923076923076925,"Jumpin', Jumpin'",Destiny's Child,17
2000,8,3.1923076923076925,Most Girls,P!nk,19
2000,9,2.0384615384615383,I Need To Know,Marc Anthony,13
2000,10,3.0384615384615383,"Jumpin', Jumpin'",Destiny's Child,17
2001,1,2.5,Angel,Shaggy Featuring Rayvon,16
2001,2,1.9423076923076923,Angel,Shaggy Featuring Rayvon,16
2001,3,3.673076923076923,My Baby,Lil' Romeo,18
2001,4,1.1153846153846154,My Baby,Lil' Romeo,18
2001,5,2.25,Angel,Shaggy Featuring Rayvon,16
2001,6,2.6153846153846154,My Baby,Lil' Romeo,18
2001,7,3.019230769230769,Angel,Shaggy Featuring Rayvon,16
2001,8,1.5,Angel,Shaggy Featuring Rayvon,16
2001,9,2.3653846153846154,My Baby,Lil' Romeo,18
2001,10,3.480769230769231,You Rock My World,Michael Jackson,23
2002,1,1.3461538461538463,Hot In Herre,Nelly,3
2002,2,2.6153846153846154,I Need A Girl (Part One),P. Diddy Featuring Usher & Loon,9
2002,3,1.9583333333333333,U Don't Have To Call,Usher,20
2002,4,4.224489795918367,U Don't Have To Call,Usher,20
2002,5,4.8478260869565215,Girlfriend,'N Sync Featuring Nelly,31
2002,6,3.6458333333333335,Girlfriend,'N Sync Featuring Nelly,31
2002,7,1.816326530612245,U Don't Have To Call,Usher,20
2002,8,3.673469387755102,Girlfriend,'N Sync Featuring Nelly,31
2002,9,1.74,Don't Mess With My Man,Nivea Featuring Brian & Brandon Casey,25
2002,10,2.22,U Don't Have To Call,Usher,20
2003,1,6.711538461538462,Baby Boy,Beyonce Featuring Sean Paul,21
2003,2,5.403846153846154,Baby Boy,Beyonce Featuring Sean Paul,21
2003,3,4.653061224489796,Baby Boy,Beyonce Featuring Sean Paul,21
2003,4,3.782608695652174,Baby Boy,Beyonce Featuring Sean Paul,21
2003,5,4.48936170212766,Baby Boy,Beyonce Featuring Sean Paul,21
2003,6,3.1333333333333333,Beautiful,Snoop Dogg Featuring Pharrell & Uncle Charlie Wilson,15
2003,7,3.0208333333333335,Beautiful,Snoop Dogg Featuring Pharrell & Uncle Charlie Wilson,15
2003,8,3.7551020408163267,Don't Mess With My Man,Nivea Featuring Brian & Brandon Casey,25
2003,9,2.891304347826087,Don't Mess With My Man,Nivea Featuring Brian & Brandon Casey,25
2003,10,2.5208333333333335,'03 Bonnie & Clyde,Jay-Z Featuring Beyonce Knowles,15
2004,1,2.173076923076923,My Boo,Usher And Alicia Keys,4
2004,2,2.230769230769231,Sunshine,Lil' Flip Featuring Lea,14
2004,3,3.25,Naughty Girl,Beyonce,16
2004,4,5.134615384615385,Move Ya Body,Nina Sky Featuring Jabba,24
2004,5,2.173076923076923,Naughty Girl,Beyonce,16
2004,6,5.1923076923076925,Just Lose It,Eminem,24
2004,7,3.8653846153846154,Just Lose It,Eminem,24
2004,8,2.173076923076923,Just Lose It,Eminem,24
2004,9,3.2884615384615383,Move Ya Body,Nina Sky Featuring Jabba,24
2004,10,3.0961538461538463,Just Lose It,Eminem,24
2005,1,7.711538461538462,Gold Digger,Kanye West Featuring Jamie Foxx,20
2005,2,5.826923076923077,Laffy Taffy,D4L,29
2005,3,4.173076923076923,Laffy Taffy,D4L,29
2005,4,5.538461538461538,Laffy Taffy,D4L,29
2005,5,3.9038461538461537,Lose Control,Missy Elliott Featuring Ciara & Fat Man Scoop,19
2005,6,4.615384615384615,Laffy Taffy,D4L,29
2005,7,4.173076923076923,Laffy Taffy,D4L,29
