year,rank,mean,song,artist,occ
2000,1,1.6538461538461537,Independent Women Part I,Destiny's Child,5
2000,2,2.0384615384615383,Case Of The Ex (Whatcha Gonna Do),Mya,10
2000,3,1.8269230769230769,Case Of The Ex (Whatcha Gonna Do),Mya,10
2000,4,1.2115384615384615,Case Of The Ex (Whatcha Gonna Do),Mya,10
2000,5,1.4038461538461537,Breathe,Faith Hill,7
2000,6,1.2692307692307692,Show Me The Meaning Of Being Lonely,Backstreet Boys,6
2000,7,1.1730769230769231,Case Of The Ex (Whatcha Gonna Do),Mya,10
2000,8,1.3846153846153846,It Feels So Good,Sonique,9
2000,9,1.8653846153846154,Case Of The Ex (Whatcha Gonna Do),Mya,10
2000,10,1.6538461538461537,Case Of The Ex (Whatcha Gonna Do),Mya,10
2001,1,1.2692307692307692,Independent Women Part I,Destiny's Child,5
2001,2,0.8846153846153846,Independent Women Part I,Destiny's Child,5
2001,3,1.0961538461538463,Ride Wit Me,Nelly Featuring City Spud,11
2001,4,1.6538461538461537,Ride Wit Me,Nelly Featuring City Spud,11
2001,5,1.5961538461538463,Ride Wit Me,Nelly Featuring City Spud,11
2001,6,1.0769230769230769,Fiesta,R. Kelly Featuring Jay-Z,9
2001,7,1.9423076923076923,Ride Wit Me,Nelly Featuring City Spud,11
2001,8,1.5576923076923077,Ride Wit Me,Nelly Featuring City Spud,11
2001,9,1.0961538461538463,Ride Wit Me,Nelly Featuring City Spud,11
2001,10,1.4807692307692308,Fiesta,R. Kelly Featuring Jay-Z,9
2002,1,0.6730769230769231,Hot In Herre,Nelly,2
2002,2,2.25,Without Me,Eminem,10
2002,3,1.0625,I Need A Girl (Part One),P. Diddy Featuring Usher & Loon,6
2002,4,1.346938775510204,Without Me,Eminem,10
2002,5,1.0,Just A Friend 2002,Mario,3
2002,6,1.3958333333333333,Without Me,Eminem,10
2002,7,1.163265306122449,I Need A Girl (Part One),P. Diddy Featuring Usher & Loon,6
2002,8,1.0204081632653061,Happy,Ashanti,6
2002,9,0.98,Without Me,Eminem,10
2002,10,1.28,I'm Gonna Be Alright,Jennifer Lopez Featuring Nas,7
2003,1,2.0,Baby Boy,Beyonce Featuring Sean Paul,6
2003,2,1.0769230769230769,Baby Boy,Beyonce Featuring Sean Paul,6
2003,3,1.3877551020408163,Holidae In,Chingy Featuring Ludacris & Snoop Dogg,9
2003,4,1.2608695652173914,Holidae In,Chingy Featuring Ludacris & Snoop Dogg,9
2003,5,1.6170212765957446,You Don't Know My Name,Alicia Keys,13
2003,6,1.8888888888888888,Walked Outta Heaven,Jagged Edge,27
2003,7,1.125,Holidae In,Chingy Featuring Ludacris & Snoop Dogg,9
2003,8,1.9591836734693877,Walked Outta Heaven,Jagged Edge,27
2003,9,2.8043478260869565,Walked Outta Heaven,Jagged Edge,27
2003,10,2.375,Walked Outta Heaven,Jagged Edge,27
2004,1,2.480769230769231,Burn,Usher,8
2004,2,1.3461538461538463,Burn,Usher,8
2004,3,2.1923076923076925,You Don't Know My Name,Alicia Keys,13
2004,4,3.6923076923076925,You Don't Know My Name,Alicia Keys,13
2004,5,1.6730769230769231,You Don't Know My Name,Alicia Keys,13
2004,6,3.5576923076923075,Walked Outta Heaven,Jagged Edge,27
2004,7,2.6346153846153846,Walked Outta Heaven,Jagged Edge,27
