year,name,value,lastValue
2000.01,WHERE MY GIRLS AT? - 702,36,36
2000.01,UNPRETTY - TLC,28,28
2000.01,SOMEDAY - Sugar Ray,27,27
2000.01,BLACK BALLOON - Goo Goo Dolls,26,26
2000.01,BACK THAT THANG UP - Juvenile Featuring Mannie Fresh & Lil' Wayne,26,26
2000.01,THE ROCKAFELLER SKANK - Fatboy Slim,24,24
2000.01,SMOOTH - Santana Featuring Rob Thomas,23,23
2000.01,AMAZED - Lonestar,22,22
2000.01,STEAL MY SUNSHINE - Len,21,21
2000.01,SEXUAL (LI DA DI) - Amber,21,21
2000.02,WHERE MY GIRLS AT? - 702,41,41
2000.02,SOMEDAY - Sugar Ray,32,32
2000.02,BLACK BALLOON - Goo Goo Dolls,31,31
2000.02,UNPRETTY - TLC,28,28
2000.02,SMOOTH - Santana Featuring Rob Thomas,28,28
2000.02,AMAZED - Lonestar,27,27
2000.02,SEXUAL (LI DA DI) - Amber,26,26
2000.02,BACK THAT THANG UP - Juvenile Featuring Mannie Fresh & Lil' Wayne,26,26
2000.02,BACK AT ONE - Brian McKnight,24,24
2000.02,MY LOVE IS YOUR LOVE - Whitney Houston,23,23
2000.03,WHERE MY GIRLS AT? - 702,41,41
2000.03,SOMEDAY - Sugar Ray,32,32
2000.03,SMOOTH - Santana Featuring Rob Thomas,32,32
2000.03,BLACK BALLOON - Goo Goo Dolls,31,31
2000.03,AMAZED - Lonestar,31,31
2000.03,UNPRETTY - TLC,28,28
2000.03,BACK AT ONE - Brian McKnight,28,28
2000.03,MY LOVE IS YOUR LOVE - Whitney Houston,27,27
2000.03,SEXUAL (LI DA DI) - Amber,26,26
2000.03,I NEED TO KNOW - Marc Anthony,26,26
2000.04,WHERE MY GIRLS AT? - 702,41,41
2000.04,SMOOTH - Santana Featuring Rob Thomas,36,36
2000.04,AMAZED - Lonestar,35,35
2000.04,SOMEDAY - Sugar Ray,32,32
2000.04,BACK AT ONE - Brian McKnight,32,32
2000.04,BLACK BALLOON - Goo Goo Dolls,31,31
2000.04,I NEED TO KNOW - Marc Anthony,30,30
2000.04,UNPRETTY - TLC,28,28
2000.04,MEET VIRGINIA - Train,26,26
2000.04,I KNEW I LOVED YOU - Savage Garden,24,24
2000.05,WHERE MY GIRLS AT? - 702,41,41
2000.05,SMOOTH - Santana Featuring Rob Thomas,41,41
2000.05,AMAZED - Lonestar,40,40
2000.05,BACK AT ONE - Brian McKnight,37,37
2000.05,I NEED TO KNOW - Marc Anthony,35,35
2000.05,SOMEDAY - Sugar Ray,32,32
2000.05,BLACK BALLOON - Goo Goo Dolls,31,31
2000.05,I KNEW I LOVED YOU - Savage Garden,29,29
2000.05,GET IT ON TONITE - Montell Jordan,29,29
2000.05,BRING IT ALL TO ME - Blaque,29,29
2000.06,SMOOTH - Santana Featuring Rob Thomas,45,45
2000.06,AMAZED - Lonestar,44,44
2000.06,WHERE MY GIRLS AT? - 702,41,41
2000.06,I NEED TO KNOW - Marc Anthony,39,39
2000.06,BACK AT ONE - Brian McKnight,37,37
2000.06,I KNEW I LOVED YOU - Savage Garden,33,33
2000.06,SOMEDAY - Sugar Ray,32,32
2000.06,HIGHER - Creed,31,31
2000.06,BREATHE - Faith Hill,31,31
2000.06,BLACK BALLOON - Goo Goo Dolls,31,31
2000.07,SMOOTH - Santana Featuring Rob Thomas,49,49
2000.07,AMAZED - Lonestar,48,48
2000.07,WHERE MY GIRLS AT? - 702,41,41
2000.07,I NEED TO KNOW - Marc Anthony,39,39
2000.07,BACK AT ONE - Brian McKnight,37,37
2000.07,HIGHER - Creed,35,35
2000.07,BREATHE - Faith Hill,35,35
2000.07,I KNEW I LOVED YOU - Savage Garden,33,33
2000.07,SOMEDAY - Sugar Ray,32,32
2000.07,SAY MY NAME - Destiny's Child,28,28
2000.08,SMOOTH - Santana Featuring Rob Thomas,54,54
2000.08,AMAZED - Lonestar,53,53
2000.08,WHERE MY GIRLS AT? - 702,41,41
2000.08,HIGHER - Creed,40,40
2000.08,BREATHE - Faith Hill,40,40
2000.08,I NEED TO KNOW - Marc Anthony,39,39
