year,name,value,lastValue
2000.08,BACK AT ONE - Brian McKnight,37,37
2000.08,I KNEW I LOVED YOU - Savage Garden,33,33
2000.08,SOMEDAY - Sugar Ray,32,32
2000.08,I WANNA KNOW - Joe,32,32
2000.09,SMOOTH - Santana Featuring Rob Thomas,58,58
2000.09,AMAZED - Lonestar,53,53
2000.09,HIGHER - Creed,44,44
2000.09,BREATHE - Faith Hill,44,44
2000.09,WHERE MY GIRLS AT? - 702,41,41
2000.09,I NEED TO KNOW - Marc Anthony,39,39
2000.09,BACK AT ONE - Brian McKnight,37,37
2000.09,I WANNA KNOW - Joe,36,36
2000.09,I KNEW I LOVED YOU - Savage Garden,33,33
2000.09,EVERYTHING YOU WANT - Vertical Horizon,33,33
2000.1,SMOOTH - Santana Featuring Rob Thomas,58,58
2000.1,AMAZED - Lonestar,53,53
2000.1,HIGHER - Creed,49,49
2000.1,BREATHE - Faith Hill,49,49
2000.1,WHERE MY GIRLS AT? - 702,41,41
2000.1,I WANNA KNOW - Joe,41,41
2000.1,I NEED TO KNOW - Marc Anthony,39,39
2000.1,EVERYTHING YOU WANT - Vertical Horizon,38,38
2000.1,BACK AT ONE - Brian McKnight,37,37
2000.1,I KNEW I LOVED YOU - Savage Garden,33,33
2000.11,SMOOTH - Santana Featuring Rob Thomas,58,58
2000.11,HIGHER - Creed,53,53
2000.11,BREATHE - Faith Hill,53,53
2000.11,AMAZED - Lonestar,53,53
2000.11,WHERE MY GIRLS AT? - 702,41,41
2000.11,I WANNA KNOW - Joe,41,41
2000.11,I NEED TO KNOW - Marc Anthony,39,39
2000.11,EVERYTHING YOU WANT - Vertical Horizon,38,38
2000.11,BACK AT ONE - Brian McKnight,37,37
2000.11,HE WASN'T MAN ENOUGH - Toni Braxton,34,34
2000.12,SMOOTH - Santana Featuring Rob Thomas,58,58
2000.12,HIGHER - Creed,57,57
2000.12,BREATHE - Faith Hill,53,53
2000.12,AMAZED - Lonestar,53,53
2000.12,WHERE MY GIRLS AT? - 702,41,41
2000.12,I WANNA KNOW - Joe,41,41
2000.12,I NEED TO KNOW - Marc Anthony,39,39
2000.12,EVERYTHING YOU WANT - Vertical Horizon,38,38
2000.12,BACK AT ONE - Brian McKnight,37,37
2000.12,KRYPTONITE - 3 Doors Down,35,35
2001.01,SMOOTH - Santana Featuring Rob Thomas,58,58
2001.01,HIGHER - Creed,57,57
2001.01,BREATHE - Faith Hill,53,53
2001.01,AMAZED - Lonestar,53,53
2001.01,WHERE MY GIRLS AT? - 702,41,41
2001.01,I WANNA KNOW - Joe,41,41
2001.01,KRYPTONITE - 3 Doors Down,40,40
2001.01,I NEED TO KNOW - Marc Anthony,39,39
2001.01,BENT - matchbox twenty,37,37
2001.01,THE WAY YOU LOVE ME - Faith Hill,36,36
2001.02,SMOOTH - Santana Featuring Rob Thomas,58,58
2001.02,HIGHER - Creed,57,57
2001.02,BREATHE - Faith Hill,53,53
2001.02,AMAZED - Lonestar,53,53
2001.02,KRYPTONITE - 3 Doors Down,44,44
2001.02,WHERE MY GIRLS AT? - 702,41,41
2001.02,I WANNA KNOW - Joe,41,41
2001.02,THE WAY YOU LOVE ME - Faith Hill,40,40
2001.02,WITH ARMS WIDE OPEN - Creed,39,39
2001.02,I NEED TO KNOW - Marc Anthony,39,39
2001.03,SMOOTH - Santana Featuring Rob Thomas,58,58
2001.03,HIGHER - Creed,57,57
2001.03,BREATHE - Faith Hill,53,53
2001.03,AMAZED - Lonestar,53,53
2001.03,KRYPTONITE - 3 Doors Down,48,48
2001.03,THE WAY YOU LOVE ME - Faith Hill,44,44
2001.03,WITH ARMS WIDE OPEN - Creed,43,43
2001.03,WHERE MY GIRLS AT? - 702,41,41
2001.03,I WANNA KNOW - Joe,41,41
2001.03,I NEED TO KNOW - Marc Anthony,39,39
2001.04,SMOOTH - Santana Featuring Rob Thomas,58,58
2001.04,HIGHER - Creed,57,57
2001.04,KRYPTONITE - 3 Doors Down,53,53
2001.04,BREATHE - Faith Hill,53,53
2001.04,AMAZED - Lonestar,53,53
2001.04,THE WAY YOU LOVE ME - Faith Hill,49,49
2001.04,WITH ARMS WIDE OPEN - Creed,43,43
2001.04,WHERE MY GIRLS AT? - 702,41,41
2001.04,I WANNA KNOW - Joe,41,41
2001.04,I NEED TO KNOW - Marc Anthony,39,39
2001.05,SMOOTH - Santana Featuring Rob Thomas,58,58
2001.05,HIGHER - Creed,57,57
2001.05,THE WAY YOU LOVE ME - Faith Hill,53,53
2001.05,KRYPTONITE - 3 Doors Down,53,53
2001.05,BREATHE - Faith Hill,53,53
2001.05,AMAZED - Lonestar,53,53
2001.05,WITH ARMS WIDE OPEN - Creed,43,43
2001.05,WHERE MY GIRLS AT? - 702,41,41
2001.05,I WANNA KNOW - Joe,41,41
2001.05,I NEED TO KNOW - Marc Anthony,39,39
2001.06,SMOOTH - Santana Featuring Rob Thomas,58,58
2001.06,HIGHER - Creed,57,57
2001.06,THE WAY YOU LOVE ME - Faith Hill,53,53
2001.06,KRYPTONITE - 3 Doors Down,53,53
2001.06,BREATHE - Faith Hill,53,53
2001.06,AMAZED - Lonestar,53,53
2001.06,WITH ARMS WIDE OPEN - Creed,43,43
2001.06,WHERE MY GIRLS AT? - 702,41,41
2001.06,I WANNA KNOW - Joe,41,41
2001.06,I HOPE YOU DANCE - Lee Ann Womack,39,39
2001.07,SMOOTH - Santana Featuring Rob Thomas,58,58
2001.07,HIGHER - Creed,57,57
2001.07,THE WAY YOU LOVE ME - Faith Hill,53,53
2001.07,KRYPTONITE - 3 Doors Down,53,53
2001.07,BREATHE - Faith Hill,53,53
2001.07,AMAZED - Lonestar,53,53
2001.07,I HOPE YOU DANCE - Lee Ann Womack,44,44
2001.07,WITH ARMS WIDE OPEN - Creed,43,43
2001.07,WHERE MY GIRLS AT? - 702,41,41
2001.07,I WANNA KNOW - Joe,41,41
2001.08,SMOOTH - Santana Featuring Rob Thomas,58,58
2001.08,HIGHER - Creed,57,57
2001.08,THE WAY YOU LOVE ME - Faith Hill,53,53
2001.08,KRYPTONITE - 3 Doors Down,53,53
2001.08,BREATHE - Faith Hill,53,53
2001.08,AMAZED - Lonestar,53,53
2001.08,I HOPE YOU DANCE - Lee Ann Womack,48,48
2001.08,WITH ARMS WIDE OPEN - Creed,43,43
2001.08,IF YOU'RE GONE - matchbox twenty,42,42
2001.08,WHERE MY GIRLS AT? - 702,41,41
2001.09,SMOOTH - Santana Featuring Rob Thomas,58,58
2001.09,HIGHER - Creed,57,57
2001.09,THE WAY YOU LOVE ME - Faith Hill,53,53
2001.09,KRYPTONITE - 3 Doors Down,53,53
2001.09,BREATHE - Faith Hill,53,53
2001.09,AMAZED - Lonestar,53,53
2001.09,I HOPE YOU DANCE - Lee Ann Womack,48,48
2001.09,WITH ARMS WIDE OPEN - Creed,43,43
2001.09,IF YOU'RE GONE - matchbox twenty,42,42
2001.09,WHERE MY GIRLS AT? - 702,41,41
2001.1,SMOOTH - Santana Featuring Rob Thomas,58,58
2001.1,HIGHER - Creed,57,57
2001.1,THE WAY YOU LOVE ME - Faith Hill,53,53
2001.1,KRYPTONITE - 3 Doors Down,53,53
2001.1,BREATHE - Faith Hill,53,53
2001.1,AMAZED - Lonestar,53,53
2001.1,I HOPE YOU DANCE - Lee Ann Womack,48,48
2001.1,WITH ARMS WIDE OPEN - Creed,43,43
2001.1,IF YOU'RE GONE - matchbox twenty,42,42
2001.1,WHERE MY GIRLS AT? - 702,41,41
2001.11,SMOOTH - Santana Featuring Rob Thomas,58,58
2001.11,HIGHER - Creed,57,57
2001.11,THE WAY YOU LOVE ME - Faith Hill,53,53
2001.11,KRYPTONITE - 3 Doors Down,53,53
2001.11,BREATHE - Faith Hill,53,53
2001.11,AMAZED - Lonestar,53,53
2001.11,I HOPE YOU DANCE - Lee Ann Womack,48,48
2001.11,WITH ARMS WIDE OPEN - Creed,43,43
2001.11,IF YOU'RE GONE - matchbox twenty,42,42
2001.11,HANGING BY A MOMENT - Lifehouse,39,39
2001.12,SMOOTH - Santana Featuring Rob Thomas,58,58
2001.12,HIGHER - Creed,57,57
2001.12,THE WAY YOU LOVE ME - Faith Hill,53,53
2001.12,KRYPTONITE - 3 Doors Down,53,53
2001.12,BREATHE - Faith Hill,53,53
2001.12,AMAZED - Lonestar,53,53
2001.12,I HOPE YOU DANCE - Lee Ann Womack,48,48
2001.12,WITH ARMS WIDE OPEN - Creed,43,43
2001.12,HANGING BY A MOMENT - Lifehouse,43,43
2001.12,IF YOU'RE GONE - matchbox twenty,42,42
2002.01,SMOOTH - Santana Featuring Rob Thomas,58,58
2002.01,HIGHER - Creed,57,57
2002.01,THE WAY YOU LOVE ME - Faith Hill,53,53
2002.01,KRYPTONITE - 3 Doors Down,53,53
2002.01,BREATHE - Faith Hill,53,53
2002.01,AMAZED - Lonestar,53,53
2002.01,I HOPE YOU DANCE - Lee Ann Womack,48,48
2002.01,HANGING BY A MOMENT - Lifehouse,48,48
2002.01,WITH ARMS WIDE OPEN - Creed,43,43
2002.01,DROPS OF JUPITER (TELL ME) - Train,43,43
2002.02,SMOOTH - Santana Featuring Rob Thomas,58,58
2002.02,HIGHER - Creed,57,57
2002.02,THE WAY YOU LOVE ME - Faith Hill,53,53
2002.02,KRYPTONITE - 3 Doors Down,53,53
2002.02,BREATHE - Faith Hill,53,53
2002.02,AMAZED - Lonestar,53,53
2002.02,HANGING BY A MOMENT - Lifehouse,52,52
2002.02,I HOPE YOU DANCE - Lee Ann Womack,48,48
2002.02,DROPS OF JUPITER (TELL ME) - Train,47,47
2002.02,IT'S BEEN AWHILE - Staind,43,43
2002.03,SMOOTH - Santana Featuring Rob Thomas,58,58
2002.03,HIGHER - Creed,57,57
2002.03,THE WAY YOU LOVE ME - Faith Hill,53,53
2002.03,KRYPTONITE - 3 Doors Down,53,53
2002.03,BREATHE - Faith Hill,53,53
2002.03,AMAZED - Lonestar,53,53
2002.03,HANGING BY A MOMENT - Lifehouse,52,52
2002.03,DROPS OF JUPITER (TELL ME) - Train,51,51
2002.03,I HOPE YOU DANCE - Lee Ann Womack,48,48
2002.03,IT'S BEEN AWHILE - Staind,43,43
2002.04,SMOOTH - Santana Featuring Rob Thomas,58,58
2002.04,HIGHER - Creed,57,57
2002.04,THE WAY YOU LOVE ME - Faith Hill,53,53
2002.04,KRYPTONITE - 3 Doors Down,53,53
2002.04,BREATHE - Faith Hill,53,53
2002.04,AMAZED - Lonestar,53,53
2002.04,HANGING BY A MOMENT - Lifehouse,52,52
2002.04,DROPS OF JUPITER (TELL ME) - Train,51,51
2002.04,I HOPE YOU DANCE - Lee Ann Womack,48,48
2002.04,IT'S BEEN AWHILE - Staind,43,43
2002.05,SMOOTH - Santana Featuring Rob Thomas,58,58
2002.05,HIGHER - Creed,57,57
2002.05,THE WAY YOU LOVE ME - Faith Hill,53,53
2002.05,KRYPTONITE - 3 Doors Down,53,53
2002.05,BREATHE - Faith Hill,53,53
2002.05,AMAZED - Lonestar,53,53
2002.05,HANGING BY A MOMENT - Lifehouse,52,52
2002.05,DROPS OF JUPITER (TELL ME) - Train,51,51
2002.05,I HOPE YOU DANCE - Lee Ann Womack,48,48
2002.05,IT'S BEEN AWHILE - Staind,43,43
2002.06,SMOOTH - Santana Featuring Rob Thomas,58,58
2002.06,HIGHER - Creed,57,57
2002.06,THE WAY YOU LOVE ME - Faith Hill,53,53
2002.06,KRYPTONITE - 3 Doors Down,53,53
2002.06,BREATHE - Faith Hill,53,53
2002.06,AMAZED - Lonestar,53,53
2002.06,HANGING BY A MOMENT - Lifehouse,52,52
2002.06,DROPS OF JUPITER (TELL ME) - Train,51,51
2002.06,I HOPE YOU DANCE - Lee Ann Womack,48,48
2002.06,IT'S BEEN AWHILE - Staind,43,43
2002.07,SMOOTH - Santana Featuring Rob Thomas,58,58
2002.07,HIGHER - Creed,57,57
2002.07,THE WAY YOU LOVE ME - Faith Hill,53,53
2002.07,KRYPTONITE - 3 Doors Down,53,53
2002.07,BREATHE - Faith Hill,53,53
2002.07,AMAZED - Lonestar,53,53
2002.07,HANGING BY A MOMENT - Lifehouse,52,52
2002.07,DROPS OF JUPITER (TELL ME) - Train,51,51
2002.07,I HOPE YOU DANCE - Lee Ann Womack,48,48
2002.07,HOW YOU REMIND ME - Nickelback,44,44
2002.08,SMOOTH - Santana Featuring Rob Thomas,58,58
2002.08,HIGHER - Creed,57,57
2002.08,THE WAY YOU LOVE ME - Faith Hill,53,53
2002.08,KRYPTONITE - 3 Doors Down,53,53
2002.08,BREATHE - Faith Hill,53,53
2002.08,AMAZED - Lonestar,53,53
2002.08,HANGING BY A MOMENT - Lifehouse,52,52
2002.08,DROPS OF JUPITER (TELL ME) - Train,51,51
2002.08,I HOPE YOU DANCE - Lee Ann Womack,48,48
2002.08,HOW YOU REMIND ME - Nickelback,48,48
2002.09,SMOOTH - Santana Featuring Rob Thomas,58,58
2002.09,HIGHER - Creed,57,57
2002.09,THE WAY YOU LOVE ME - Faith Hill,53,53
2002.09,KRYPTONITE - 3 Doors Down,53,53
2002.09,BREATHE - Faith Hill,53,53
2002.09,AMAZED - Lonestar,53,53
2002.09,HANGING BY A MOMENT - Lifehouse,52,52
2002.09,DROPS OF JUPITER (TELL ME) - Train,51,51
2002.09,I HOPE YOU DANCE - Lee Ann Womack,48,48
2002.09,HOW YOU REMIND ME - Nickelback,48,48
2002.1,SMOOTH - Santana Featuring Rob Thomas,58,58
2002.1,HIGHER - Creed,57,57
2002.1,THE WAY YOU LOVE ME - Faith Hill,53,53
2002.1,KRYPTONITE - 3 Doors Down,53,53
2002.1,BREATHE - Faith Hill,53,53
2002.1,AMAZED - Lonestar,53,53
2002.1,HANGING BY A MOMENT - Lifehouse,52,52
2002.1,DROPS OF JUPITER (TELL ME) - Train,51,51
2002.1,I HOPE YOU DANCE - Lee Ann Womack,48,48
2002.1,HOW YOU REMIND ME - Nickelback,48,48
2002.11,SMOOTH - Santana Featuring Rob Thomas,58,58
2002.11,HIGHER - Creed,57,57
2002.11,THE WAY YOU LOVE ME - Faith Hill,53,53
2002.11,KRYPTONITE - 3 Doors Down,53,53
2002.11,BREATHE - Faith Hill,53,53
2002.11,AMAZED - Lonestar,53,53
2002.11,HANGING BY A MOMENT - Lifehouse,52,52
2002.11,DROPS OF JUPITER (TELL ME) - Train,51,51
2002.11,I HOPE YOU DANCE - Lee Ann Womack,48,48
2002.11,HOW YOU REMIND ME - Nickelback,48,48
2002.12,SMOOTH - Santana Featuring Rob Thomas,58,58
2002.12,HIGHER - Creed,57,57
2002.12,THE WAY YOU LOVE ME - Faith Hill,53,53
2002.12,KRYPTONITE - 3 Doors Down,53,53
2002.12,BREATHE - Faith Hill,53,53
2002.12,AMAZED - Lonestar,53,53
2002.12,HANGING BY A MOMENT - Lifehouse,52,52
2002.12,DROPS OF JUPITER (TELL ME) - Train,51,51
2002.12,I HOPE YOU DANCE - Lee Ann Womack,48,48
2002.12,HOW YOU REMIND ME - Nickelback,48,48
2003.01,SMOOTH - Santana Featuring Rob Thomas,58,58
2003.01,HIGHER - Creed,57,57
2003.01,THE WAY YOU LOVE ME - Faith Hill,53,53
2003.01,KRYPTONITE - 3 Doors Down,53,53
2003.01,BREATHE - Faith Hill,53,53
2003.01,AMAZED - Lonestar,53,53
2003.01,HANGING BY A MOMENT - Lifehouse,52,52
2003.01,DROPS OF JUPITER (TELL ME) - Train,51,51
2003.01,I HOPE YOU DANCE - Lee Ann Womack,48,48
2003.01,HOW YOU REMIND ME - Nickelback,48,48
2003.02,SMOOTH - Santana Featuring Rob Thomas,58,58
2003.02,HIGHER - Creed,57,57
2003.02,THE WAY YOU LOVE ME - Faith Hill,53,53
2003.02,KRYPTONITE - 3 Doors Down,53,53
2003.02,BREATHE - Faith Hill,53,53
2003.02,AMAZED - Lonestar,53,53
2003.02,HANGING BY A MOMENT - Lifehouse,52,52
2003.02,DROPS OF JUPITER (TELL ME) - Train,51,51
2003.02,I HOPE YOU DANCE - Lee Ann Womack,48,48
2003.02,HOW YOU REMIND ME - Nickelback,48,48
2003.03,SMOOTH - Santana Featuring Rob Thomas,58,58
2003.03,HIGHER - Creed,57,57
2003.03,THE WAY YOU LOVE ME - Faith Hill,53,53
2003.03,KRYPTONITE - 3 Doors Down,53,53
2003.03,BREATHE - Faith Hill,53,53
2003.03,AMAZED - Lonestar,53,53
2003.03,HANGING BY A MOMENT - Lifehouse,52,52
2003.03,DROPS OF JUPITER (TELL ME) - Train,51,51
2003.03,I HOPE YOU DANCE - Lee Ann Womack,48,48
2003.03,HOW YOU REMIND ME - Nickelback,48,48
2003.04,SMOOTH - Santana Featuring Rob Thomas,58,58
2003.04,HIGHER - Creed,57,57
2003.04,THE WAY YOU LOVE ME - Faith Hill,53,53
2003.04,KRYPTONITE - 3 Doors Down,53,53
2003.04,BREATHE - Faith Hill,53,53
2003.04,AMAZED - Lonestar,53,53
2003.04,HANGING BY A MOMENT - Lifehouse,52,52
2003.04,DROPS OF JUPITER (TELL ME) - Train,51,51
2003.04,I HOPE YOU DANCE - Lee Ann Womack,48,48
2003.04,HOW YOU REMIND ME - Nickelback,48,48
2003.05,SMOOTH - Santana Featuring Rob Thomas,58,58
2003.05,HIGHER - Creed,57,57
2003.05,THE WAY YOU LOVE ME - Faith Hill,53,53
2003.05,KRYPTONITE - 3 Doors Down,53,53
2003.05,BREATHE - Faith Hill,53,53
2003.05,AMAZED - Lonestar,53,53
2003.05,HANGING BY A MOMENT - Lifehouse,52,52
2003.05,DROPS OF JUPITER (TELL ME) - Train,51,51
2003.05,I HOPE YOU DANCE - Lee Ann Womack,48,48
2003.05,HOW YOU REMIND ME - Nickelback,48,48
2003.06,SMOOTH - Santana Featuring Rob Thomas,58,58
2003.06,HIGHER - Creed,57,57
2003.06,THE WAY YOU LOVE ME - Faith Hill,53,53
2003.06,KRYPTONITE - 3 Doors Down,53,53
2003.06,BREATHE - Faith Hill,53,53
2003.06,AMAZED - Lonestar,53,53
2003.06,HANGING BY A MOMENT - Lifehouse,52,52
2003.06,DROPS OF JUPITER (TELL ME) - Train,51,51
2003.06,I HOPE YOU DANCE - Lee Ann Womack,48,48
2003.06,HOW YOU REMIND ME - Nickelback,48,48
2003.07,SMOOTH - Santana Featuring Rob Thomas,58,58
2003.07,HIGHER - Creed,57,57
2003.07,THE WAY YOU LOVE ME - Faith Hill,53,53
2003.07,KRYPTONITE - 3 Doors Down,53,53
2003.07,BREATHE - Faith Hill,53,53
2003.07,AMAZED - Lonestar,53,53
2003.07,HANGING BY A MOMENT - Lifehouse,52,52
2003.07,DROPS OF JUPITER (TELL ME) - Train,51,51
2003.07,I HOPE YOU DANCE - Lee Ann Womack,48,48
2003.07,HOW YOU REMIND ME - Nickelback,48,48
2003.08,SMOOTH - Santana Featuring Rob Thomas,58,58
2003.08,HIGHER - Creed,57,57
2003.08,THE WAY YOU LOVE ME - Faith Hill,53,53
2003.08,KRYPTONITE - 3 Doors Down,53,53
2003.08,BREATHE - Faith Hill,53,53
2003.08,AMAZED - Lonestar,53,53
2003.08,HANGING BY A MOMENT - Lifehouse,52,52
2003.08,DROPS OF JUPITER (TELL ME) - Train,51,51
2003.08,I HOPE YOU DANCE - Lee Ann Womack,48,48
2003.08,HOW YOU REMIND ME - Nickelback,48,48
2003.09,SMOOTH - Santana Featuring Rob Thomas,58,58
2003.09,HIGHER - Creed,57,57
2003.09,THE WAY YOU LOVE ME - Faith Hill,53,53
2003.09,KRYPTONITE - 3 Doors Down,53,53
2003.09,BREATHE - Faith Hill,53,53
2003.09,AMAZED - Lonestar,53,53
2003.09,HANGING BY A MOMENT - Lifehouse,52,52
2003.09,DROPS OF JUPITER (TELL ME) - Train,51,51
2003.09,I HOPE YOU DANCE - Lee Ann Womack,48,48
2003.09,HOW YOU REMIND ME - Nickelback,48,48
2003.1,SMOOTH - Santana Featuring Rob Thomas,58,58
2003.1,HIGHER - Creed,57,57
2003.1,THE WAY YOU LOVE ME - Faith Hill,53,53
2003.1,KRYPTONITE - 3 Doors Down,53,53
2003.1,BREATHE - Faith Hill,53,53
2003.1,AMAZED - Lonestar,53,53
2003.1,HANGING BY A MOMENT - Lifehouse,52,52
2003.1,DROPS OF JUPITER (TELL ME) - Train,51,51
2003.1,I HOPE YOU DANCE - Lee Ann Womack,48,48
2003.1,HOW YOU REMIND ME - Nickelback,48,48
2003.11,SMOOTH - Santana Featuring Rob Thomas,58,58
2003.11,HIGHER - Creed,57,57
2003.11,THE WAY YOU LOVE ME - Faith Hill,53,53
2003.11,KRYPTONITE - 3 Doors Down,53,53
2003.11,BREATHE - Faith Hill,53,53
2003.11,AMAZED - Lonestar,53,53
2003.11,HANGING BY A MOMENT - Lifehouse,52,52
2003.11,DROPS OF JUPITER (TELL ME) - Train,51,51
2003.11,I HOPE YOU DANCE - Lee Ann Womack,48,48
2003.11,HOW YOU REMIND ME - Nickelback,48,48
2003.12,SMOOTH - Santana Featuring Rob Thomas,58,58
2003.12,HIGHER - Creed,57,57
2003.12,THE WAY YOU LOVE ME - Faith Hill,53,53
2003.12,KRYPTONITE - 3 Doors Down,53,53
2003.12,BREATHE - Faith Hill,53,53
2003.12,AMAZED - Lonestar,53,53
2003.12,HANGING BY A MOMENT - Lifehouse,52,52
2003.12,DROPS OF JUPITER (TELL ME) - Train,51,51
2003.12,I HOPE YOU DANCE - Lee Ann Womack,48,48
2003.12,HOW YOU REMIND ME - Nickelback,48,48
2004.01,SMOOTH - Santana Featuring Rob Thomas,58,58
2004.01,HIGHER - Creed,57,57
2004.01,THE WAY YOU LOVE ME - Faith Hill,53,53
2004.01,KRYPTONITE - 3 Doors Down,53,53
2004.01,BREATHE - Faith Hill,53,53
2004.01,AMAZED - Lonestar,53,53
2004.01,HANGING BY A MOMENT - Lifehouse,52,52
2004.01,DROPS OF JUPITER (TELL ME) - Train,51,51
2004.01,I HOPE YOU DANCE - Lee Ann Womack,48,48
2004.01,HOW YOU REMIND ME - Nickelback,48,48
2004.02,SMOOTH - Santana Featuring Rob Thomas,58,58
2004.02,HIGHER - Creed,57,57
2004.02,THE WAY YOU LOVE ME - Faith Hill,53,53
2004.02,KRYPTONITE - 3 Doors Down,53,53
2004.02,BREATHE - Faith Hill,53,53
2004.02,AMAZED - Lonestar,53,53
2004.02,HANGING BY A MOMENT - Lifehouse,52,52
2004.02,DROPS OF JUPITER (TELL ME) - Train,51,51
2004.02,I HOPE YOU DANCE - Lee Ann Womack,48,48
2004.02,UNWELL - matchbox twenty,47,47
2004.03,SMOOTH - Santana Featuring Rob Thomas,58,58
2004.03,HIGHER - Creed,57,57
2004.03,THE WAY YOU LOVE ME - Faith Hill,53,53
2004.03,KRYPTONITE - 3 Doors Down,53,53
2004.03,BREATHE - Faith Hill,53,53
2004.03,AMAZED - Lonestar,53,53
2004.03,HANGING BY A MOMENT - Lifehouse,52,52
2004.03,UNWELL - matchbox twenty,51,51
2004.03,DROPS OF JUPITER (TELL ME) - Train,51,51
2004.03,I HOPE YOU DANCE - Lee Ann Womack,48,48
2004.04,SMOOTH - Santana Featuring Rob Thomas,58,58
2004.04,HIGHER - Creed,57,57
2004.04,THE WAY YOU LOVE ME - Faith Hill,53,53
2004.04,KRYPTONITE - 3 Doors Down,53,53
2004.04,BREATHE - Faith Hill,53,53
2004.04,AMAZED - Lonestar,53,53
2004.04,HANGING BY A MOMENT - Lifehouse,52,52
2004.04,UNWELL - matchbox twenty,51,51
2004.04,DROPS OF JUPITER (TELL ME) - Train,51,51
2004.04,I HOPE YOU DANCE - Lee Ann Womack,48,48
2004.05,SMOOTH - Santana Featuring Rob Thomas,58,58
2004.05,HIGHER - Creed,57,57
