year,rank,mean,song,artist,occ
2000,1,4.346153846153846,Say My Name,Destiny's Child,25
2000,2,3.1923076923076925,Say My Name,Destiny's Child,25
2000,3,4.134615384615385,Thong Song,Sisqo,25
2000,4,4.730769230769231,Thong Song,Sisqo,25
2000,5,5.076923076923077,Say My Name,Destiny's Child,25
2000,6,3.5576923076923075,Thong Song,Sisqo,25
2000,7,2.980769230769231,Thong Song,Sisqo,25
2000,8,3.019230769230769,Thong Song,Sisqo,25
2000,9,3.730769230769231,Bring It All To Me,Blaque,20
2000,10,3.980769230769231,Say My Name,Destiny's Child,25
2001,1,2.25,Butterfly,Crazy Town,18
2001,2,2.3461538461538463,Butterfly,Crazy Town,18
2001,3,2.4038461538461537,Someone To Call My Lover,Janet,15
2001,4,1.9230769230769231,Butterfly,Crazy Town,18
2001,5,1.3076923076923077,Someone To Call My Lover,Janet,15
2001,6,1.7884615384615385,Butterfly,Crazy Town,18
2001,7,3.673076923076923,Always On Time,Ja Rule Featuring Ashanti,20
2001,8,3.2115384615384617,Put It On Me,Ja Rule Featuring Lil' Mo & Vita,20
2001,9,3.173076923076923,Always On Time,Ja Rule Featuring Ashanti,20
2001,10,3.6538461538461537,Put It On Me,Ja Rule Featuring Lil' Mo & Vita,20
2002,1,3.480769230769231,Always On Time,Ja Rule Featuring Ashanti,20
2002,2,2.8461538461538463,Always On Time,Ja Rule Featuring Ashanti,20
2002,3,3.7916666666666665,Always On Time,Ja Rule Featuring Ashanti,20
2002,4,2.7142857142857144,Always On Time,Ja Rule Featuring Ashanti,20
2002,5,5.173913043478261,Hey Baby,No Doubt Featuring Bounty Killer,57
2002,6,5.604166666666667,Hey Baby,No Doubt Featuring Bounty Killer,57
2002,7,1.816326530612245,"Bump, Bump, Bump",B2K & P. Diddy,18
2002,8,1.6326530612244898,Luv U Better,LL Cool J,9
2002,9,3.28,Hey Baby,No Doubt Featuring Bounty Killer,57
2002,10,3.38,Hey Baby,No Doubt Featuring Bounty Killer,57
2003,1,7.076923076923077,All I Have,Jennifer Lopez Featuring LL Cool J,27
2003,2,5.1923076923076925,Rock Wit U (Awww Baby),Ashanti,39
2003,3,7.653061224489796,Rock Wit U (Awww Baby),Ashanti,39
2003,4,4.021739130434782,Rock Wit U (Awww Baby),Ashanti,39
2003,5,5.957446808510638,Rock Wit U (Awww Baby),Ashanti,39
2003,6,3.3777777777777778,Mesmerize,Ja Rule Featuring Ashanti,34
2003,7,3.375,Rock Wit U (Awww Baby),Ashanti,39
2003,8,3.2448979591836733,Mesmerize,Ja Rule Featuring Ashanti,34
2003,9,3.652173913043478,Rock Wit U (Awww Baby),Ashanti,39
2003,10,4.6875,Rock Wit U (Awww Baby),Ashanti,39
2004,1,1.8461538461538463,Slow Jamz,Twista Featuring Kanye West & Jamie Foxx,7
2004,2,5.903846153846154,Sunshine,Lil' Flip Featuring Lea,20
2004,3,6.134615384615385,Sunshine,Lil' Flip Featuring Lea,20
2004,4,5.038461538461538,You Don't Know My Name,Alicia Keys,15
2004,5,3.923076923076923,Sunshine,Lil' Flip Featuring Lea,20
2004,6,2.769230769230769,You Don't Know My Name,Alicia Keys,15
2004,7,3.230769230769231,Sunshine,Lil' Flip Featuring Lea,20
2004,8,2.423076923076923,Just Lose It,Eminem,9
2004,9,2.5961538461538463,Let Me Love You,Mario,16
2004,10,2.75,Sunshine,Lil' Flip Featuring Lea,20
2005,1,7.884615384615385,Don't Forget About Us,Mariah Carey,19
2005,2,2.2115384615384617,Don't Forget About Us,Mariah Carey,19
2005,3,3.3076923076923075,Let Me Love You,Mario,16
2005,4,3.019230769230769,We Belong Together,Mariah Carey,13
2005,5,2.1153846153846154,We Belong Together,Mariah Carey,13
2005,6,2.3076923076923075,Let Me Love You,Mario,16
2005,7,3.173076923076923,Don't Forget About Us,Mariah Carey,19
2005,8,2.4423076923076925,Let Me Love You,Mario,16
2005,9,2.076923076923077,We Belong Together,Mariah Carey,13
2005,10,2.5384615384615383,Lose My Breath,Destiny's Child,14
2006,1,2.4615384615384617,Don't Forget About Us,Mariah Carey,19
