_date,_song,_artist,_peak-rank,_weeks-on-board,_genres,_track,_uri,_danceability,_energy,_key,_loudness,_mode,_speechiness,_acousticness,_instrumentalness,_liveness,_valence,_tempo,_duration_ms,_time_signature,_chorus_hit,_sections,_target,year,id,keywords
2014-04-26,Feelin' Myself,"will.i.am Featuring Miley Cyrus, French Montana, Wiz Khalifa & DJ Mustard",96,2,"['english', 'miley-cyrus', 'pop', 'pop rock', 'power pop', 'rock']",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2014,"Feelin'_Myself_by_will.i.am_Featuring_Miley_Cyrus,_French_Montana,_Wiz_Khalifa_&_DJ_Mustard","english, miley-cyrus, pop, pop rock, power pop, rock"
2018-05-19,Mercy,Brett Young,29,20,"['brett young ep', 'country']",Mercy,spotify:track:2VIPU72L6tIR4w8J8ap6Kp,0.638,0.367,4.0,-7.906,1.0,0.0266,0.84,0.0,0.0999,0.219,71.957,217120.0,4.0,27.75606,11.0,1.0,2018,Mercy_by_Brett_Young,"brett young ep, country"
2000-08-19,Case Of The Ex (Whatcha Gonna Do),Mya,2,30,['soul'],Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2000,Case_Of_The_Ex_(Whatcha_Gonna_Do)_by_Mya,soul
2004-12-11,Lady,Lenny Kravitz,27,20,"['american', 'classic pop and rock', 'funk rock', 'funk-rock', 'hard rock', 'neo-psychedelia', 'pop rock', 'pop soul', 'psychedelic rock', 'psychedelic soul', 'rock', 'soft rock', 'soul']",Lady,spotify:track:4qM2h3xkzwGJiVv6GgL6w0,0.808,0.584,0.0,-4.469,1.0,0.034,0.0162,0.504,0.0848,0.798,111.966,255573.0,4.0,24.78742,13.0,1.0,2004,Lady_by_Lenny_Kravitz,"american, classic pop and rock, funk rock, funk-rock, hard rock, neo-psychedelia, pop rock, pop soul, psychedelic rock, psychedelic soul, rock, soft rock, soul"
2002-11-09,From Tha Chuuuch To Da Palace,Snoop Dogg,77,10,"['2008 universal fire victim', 'american', 'criminal', 'g-funk', 'gangsta rap', 'hip hop', 'hip hop rnb and dance hall', 'hip-hop', 'reggae', 'relic inn', 'west coast hip hop', 'west coast hip-hop']",From Tha Chuuuch To Da Palace,spotify:track:3dVRdoxPN20V8w0KDxWtIC,0.78,0.675,1.0,-5.568,1.0,0.279,0.257,0.0,0.0808,0.681,96.88,285787.0,4.0,27.46596,14.0,1.0,2002,From_Tha_Chuuuch_To_Da_Palace_by_Snoop_Dogg,"2008 universal fire victim, american, criminal, g-funk, gangsta rap, hip hop, hip hop rnb and dance hall, hip-hop, reggae, relic inn, west coast hip hop, west coast hip-hop"
2019-11-16,For My Daughter,Kane Brown,90,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2019,For_My_Daughter_by_Kane_Brown,Unknown
2015-11-28,My House,Flo Rida,4,39,"['a filk artist', 'dance-pop', 'electro', 'electropop', 'hip hop', 'hip hop rnb and dance hall', 'hip house', 'pop rap', 'southern hip hop']",My House,spotify:track:6Knv6wdA0luoMUuuoYi2i1,0.688,0.702,7.0,-4.792,0.0,0.0499,0.0215,0.0,0.128,0.74,94.006,192191.0,4.0,40.52926,10.0,1.0,2015,My_House_by_Flo_Rida,"a filk artist, dance-pop, electro, electropop, hip hop, hip hop rnb and dance hall, hip house, pop rap, southern hip hop"
2015-12-26,Hands To Myself,Selena Gomez,7,20,"['alternative r&b', 'brostep', 'contemporary r&b', 'dance-pop', 'electro house', 'electro-disco', 'electropop', 'englisch', 'english', 'pop', 'rock', 'teen pop']",Hands To Myself,spotify:track:1LoriJC05IrHIDwj3q0KC1,0.811,0.499,5.0,-7.161,0.0,0.118,0.0147,2.44e-06,0.342,0.466,111.016,200680.0,4.0,56.37931,8.0,1.0,2015,Hands_To_Myself_by_Selena_Gomez,"alternative r&b, brostep, contemporary r&b, dance-pop, electro house, electro-disco, electropop, englisch, english, pop, rock, teen pop"
2020-03-07,Lil Top,YoungBoy Never Broke Again,28,2,['hip hop'],Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2020,Lil_Top_by_YoungBoy_Never_Broke_Again,hip hop
2011-09-10,I'm Gonna Love You Through It,Martina McBride,61,20,"['contemporary country', 'country', 'country pop']",I'm Gonna Love You Through It,spotify:track:4GwbSrCJFRze2tK4H12Zew,0.432,0.657,5.0,-5.12,1.0,0.0304,0.317,0.0,0.0893,0.259,142.528,227613.0,4.0,55.20204,13.0,1.0,2011,I'm_Gonna_Love_You_Through_It_by_Martina_McBride,"contemporary country, country, country pop"
