Catégorie : Toutes catégories

Mois,Guerre d'Irak: (États-Unis)
2004-01,46
2004-02,52
2004-03,61
2004-04,93
2004-05,100
2004-06,46
2004-07,44
2004-08,44
2004-09,71
2004-10,94
2004-11,88
2004-12,66
2005-01,57
2005-02,50
2005-03,47
2005-04,53
2005-05,55
2005-06,40
2005-07,34
2005-08,45
2005-09,51
2005-10,51
2005-11,66
2005-12,48
2006-01,38
2006-02,41
2006-03,51
2006-04,50
2006-05,46
2006-06,33
2006-07,22
2006-08,24
2006-09,39
2006-10,51
2006-11,56
2006-12,43
2007-01,49
2007-02,49
2007-03,52
2007-04,50
2007-05,55
2007-06,29
2007-07,26
2007-08,25
2007-09,42
2007-10,43
2007-11,47
2007-12,35
2008-01,33
2008-02,40
2008-03,47
2008-04,49
2008-05,43
2008-06,25
2008-07,20
2008-08,19
2008-09,40
2008-10,42
2008-11,36
2008-12,23
2009-01,20
2009-02,24
2009-03,24
2009-04,23
2009-05,22
2009-06,14
2009-07,11
2009-08,11
2009-09,18
2009-10,17
2009-11,20
2009-12,17
2010-01,14
2010-02,15
2010-03,19
2010-04,18
2010-05,19
2010-06,11
2010-07,8
2010-08,13
2010-09,18
2010-10,11
2010-11,14
2010-12,10
2011-01,10
2011-02,12
2011-03,13
2011-04,12
2011-05,14
2011-06,7
2011-07,7
2011-08,7
2011-09,10
2011-10,13
2011-11,11
2011-12,21
2012-01,10
2012-02,9
2012-03,10
2012-04,9
2012-05,10
2012-06,6
2012-07,5
2012-08,6
2012-09,9
2012-10,10
2012-11,9
2012-12,6
2013-01,6
2013-02,7
2013-03,11
2013-04,9
2013-05,9
2013-06,5
2013-07,4
2013-08,5
2013-09,8
2013-10,5
2013-11,6
2013-12,5
2014-01,5
2014-02,5
2014-03,6
2014-04,6
2014-05,8
2014-06,14
2014-07,6
2014-08,7
2014-09,8
2014-10,6
2014-11,6
2014-12,5
2015-01,6
2015-02,7
2015-03,7
2015-04,7
2015-05,10
2015-06,5
2015-07,4
2015-08,5
2015-09,7
2015-10,6
2015-11,9
2015-12,6
2016-01,5
2016-02,8
2016-03,7
2016-04,7
2016-05,8
2016-06,5
2016-07,6
2016-08,5
2016-09,12
2016-10,14
2016-11,7
2016-12,5
2017-01,7
2017-02,5
2017-03,5
2017-04,6
2017-05,6
2017-06,4
2017-07,3
2017-08,3
2017-09,4
2017-10,4
2017-11,5
2017-12,4
2018-01,4
2018-02,4
2018-03,5
2018-04,5
2018-05,6
2018-06,3
2018-07,3
2018-08,3
2018-09,4
2018-10,4
2018-11,4
2018-12,4
2019-01,4
2019-02,4
2019-03,4
2019-04,5
2019-05,6
2019-06,4
2019-07,3
2019-08,3
2019-09,4
2019-10,4
2019-11,4
2019-12,3
2020-01,10
2020-02,4
2020-03,4
2020-04,5
2020-05,4
2020-06,3
2020-07,3
2020-08,3
2020-09,4
2020-10,3
2020-11,4
2020-12,3
2021-01,3
2021-02,3
2021-03,3
2021-04,3
2021-05,3
2021-06,3
2021-07,2
2021-08,4
2021-09,4
2021-10,3
2021-11,2
2021-12,2
2022-01,2
2022-02,4
2022-03,6
2022-04,3
