Catégorie : Toutes catégories

Mois,great recession: (États-Unis)
2004-01,4
2004-02,4
2004-03,0
2004-04,2
2004-05,5
2004-06,2
2004-07,0
2004-08,0
2004-09,2
2004-10,0
2004-11,0
2004-12,1
2005-01,0
2005-02,4
2005-03,2
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,2
2005-10,1
2005-11,0
2005-12,1
2006-01,2
2006-02,1
2006-03,0
2006-04,2
2006-05,0
2006-06,2
2006-07,2
2006-08,1
2006-09,1
2006-10,2
2006-11,2
2006-12,0
2007-01,1
2007-02,2
2007-03,1
2007-04,2
2007-05,1
2007-06,1
2007-07,1
2007-08,4
2007-09,2
2007-10,1
2007-11,4
2007-12,4
2008-01,8
2008-02,4
2008-03,9
2008-04,9
2008-05,5
2008-06,4
2008-07,5
2008-08,2
2008-09,14
2008-10,21
2008-11,21
2008-12,22
2009-01,15
2009-02,24
2009-03,28
2009-04,25
2009-05,23
2009-06,16
2009-07,12
2009-08,12
2009-09,16
2009-10,22
2009-11,22
2009-12,22
2010-01,25
2010-02,29
2010-03,22
2010-04,27
2010-05,27
2010-06,17
2010-07,13
2010-08,17
2010-09,20
2010-10,27
2010-11,24
2010-12,21
2011-01,19
2011-02,30
2011-03,29
2011-04,23
2011-05,29
2011-06,18
2011-07,18
2011-08,21
2011-09,23
2011-10,28
2011-11,27
2011-12,22
2012-01,21
2012-02,25
2012-03,27
2012-04,28
2012-05,26
2012-06,17
2012-07,12
2012-08,15
2012-09,23
2012-10,29
2012-11,27
2012-12,20
2013-01,20
2013-02,27
2013-03,26
2013-04,34
2013-05,27
2013-06,14
2013-07,12
2013-08,16
2013-09,23
2013-10,29
2013-11,28
2013-12,27
2014-01,21
2014-02,30
2014-03,29
2014-04,35
2014-05,31
2014-06,21
2014-07,17
2014-08,14
2014-09,25
2014-10,30
2014-11,27
2014-12,27
2015-01,26
2015-02,28
2015-03,36
2015-04,40
2015-05,29
2015-06,19
2015-07,19
2015-08,15
2015-09,28
2015-10,30
2015-11,31
2015-12,34
2016-01,29
2016-02,33
2016-03,38
2016-04,44
2016-05,38
2016-06,19
2016-07,16
2016-08,18
2016-09,28
2016-10,40
2016-11,48
2016-12,32
2017-01,30
2017-02,35
2017-03,40
2017-04,42
2017-05,35
2017-06,20
2017-07,16
2017-08,17
2017-09,23
2017-10,35
2017-11,37
2017-12,28
2018-01,28
2018-02,38
2018-03,31
2018-04,45
2018-05,37
2018-06,26
2018-07,20
2018-08,22
2018-09,34
2018-10,38
2018-11,36
2018-12,37
2019-01,27
2019-02,30
2019-03,39
2019-04,48
2019-05,39
2019-06,24
2019-07,20
2019-08,31
2019-09,33
2019-10,34
2019-11,36
2019-12,28
2020-01,30
2020-02,41
2020-03,100
2020-04,95
2020-05,64
2020-06,33
2020-07,28
2020-08,27
2020-09,31
2020-10,30
2020-11,30
2020-12,25
2021-01,19
2021-02,28
2021-03,26
2021-04,30
2021-05,27
2021-06,16
2021-07,14
2021-08,12
2021-09,21
2021-10,23
2021-11,28
2021-12,21
2022-01,16
2022-02,24
2022-03,26
2022-04,23
