,date,song,artist,peak-rank,weeks-on-board
0,2000-01-01,A Country Boy Can Survive (Y2K Version),Chad Brock With Hank Williams Jr. & George Jones,75,3
1,2000-01-01,I Wanna Know,Joe,4,44
2,2000-01-01,The Quittin' Kind,Joe Diffie,90,6
3,2000-01-01,Show Me The Meaning Of Being Lonely,Backstreet Boys,6,24
4,2000-01-01,This Gift,98 Degrees,49,3
5,2000-01-08,All I Want For Christmas Is You,Mariah Carey,1,50
6,2000-01-08,G'd Up,Snoop Dogg Presents Tha Eastsidaz,47,14
7,2000-01-08,Love Is Blind,Eve Featuring Faith Evans,34,16
8,2000-01-08,The Best Man I Can Be,"Ginuwine, R.L., Tyrese, Case",77,12
9,2000-01-15,Do It Again (Put Ya Hands Up),Jay-Z Featuring Beanie Sigel & Amil,65,9
10,2000-01-15,What's My Name,DMX,67,11
11,2000-01-15,Back At One,Mark Wills,36,20
12,2000-01-15,Falls Apart,Sugar Ray,29,20
13,2000-01-22,Smoke Rings In The Dark,Gary Allan,76,5
14,2000-01-22,Untitled (How Does It Feel),D'Angelo,25,17
15,2000-01-22,Forgot About Dre,Dr. Dre Featuring Eminem,25,20
16,2000-01-22,Never Let You Go,Third Eye Blind,14,22
17,2000-01-22,It Feels So Good,Sonique,8,24
18,2000-01-22,Everything You Want,Vertical Horizon,1,41
19,2000-01-22,Breathe And Stop,Q-Tip,71,5
20,2000-01-29,Bye Bye Bye,'N Sync,4,23
21,2000-01-29,Lessons Learned,Tracy Lawrence,40,20
22,2000-01-29,Put Your Hand In Mine,Tracy Byrd,76,8
23,2000-01-29,Because You Love Me,Jo Dee Messina,53,13
24,2000-01-29,I Don't Wanna,Aaliyah,35,20
25,2000-01-29,I Like It,Sammie,24,20
26,2000-01-29,How Do You Like Me Now?!,Toby Keith,31,20
27,2000-01-29,From The Bottom Of My Broken Heart,Britney Spears,14,20
28,2000-01-29,Thong Song,Sisqo,3,28
29,2000-01-29,"Tricky, Tricky",Lou Bega,74,3
30,2000-01-29,The Best Day,George Strait,31,20
31,2000-02-05,Love's The Only House,Martina McBride,42,20
32,2000-02-05,This Woman Needs,SHeDAISY,57,9
33,2000-02-05,U Understand,Juvenile,83,6
34,2000-02-12,Maria Maria,Santana Featuring The Product G&B,1,26
35,2000-02-12,"Left, Right, Left",Drama,73,13
36,2000-02-12,Otherside,Red Hot Chili Peppers,14,22
37,2000-02-12,No Leaf Clover,Metallica,74,10
38,2000-02-12,Freakin' It,Will Smith,99,4
39,2000-02-12,Best Friend,Puff Daddy Featuring Mario Winans & Hezekiah Walker & The Love Fe,59,5
40,2000-02-12,Dear Lie,TLC,51,7
41,2000-02-19,American Pie,Madonna,29,9
42,2000-02-19,Feelin' So Good,Jennifer Lopez Featuring Big Pun & Fat Joe,51,17
43,2000-02-19,I Learned From The Best,Whitney Houston,27,11
44,2000-02-19,Do What You Gotta Do,Garth Brooks,69,6
45,2000-02-19,I Need A Hot Girl,Hot Boys,65,13
46,2000-02-19,Been There,Clint Black With Steve Wariner,44,20
47,2000-02-19,Only God Knows Why,Kid Rock,19,20
48,2000-02-19,I Try,Macy Gray,5,27
49,2000-02-19,Another Dumb Blonde,Hoku,27,14
50,2000-02-26,Baby Don't Cry (Keep Ya Head Up II),2Pac + Outlawz,72,7
51,2000-02-26,Party Up (Up In Here),DMX,27,22
52,2000-02-26,You Sang To Me,Marc Anthony,2,32
53,2000-02-26,That's What I'm Looking For,Da Brat,56,18
54,2000-02-26,Stay Or Let It Go,Brian McKnight,76,8
55,2000-02-26,Anything,JAY-Z,55,8
56,2000-03-04,There You Go,P!nk,7,32
57,2000-03-04,U Don't Love Me,Kumbia Kings Featuring A.B. Quintanilla,62,10
58,2000-03-04,It Was,Chely Wright,64,10
59,2000-03-04,Daddy Won't Sell The Farm,Montgomery Gentry,79,6
60,2000-03-04,Whoa!,Black Rob,43,17
61,2000-03-04,Still In My Heart,Tracie Spencer,88,3
62,2000-03-04,Get Up,Amel Larrieux,97,3
63,2000-03-04,Carlene,Phil Vassar,45,20
64,2000-03-11,Buy Me A Rose,Kenny Rogers With Alison Krauss & Billy Dean,40,20
65,2000-03-11,The Way You Love Me,Faith Hill,6,56
66,2000-03-11,She's More,Andy Griggs,37,20
67,2000-03-11,Private Emotion,Ricky Martin Featuring Meja,67,5
68,2000-03-18,Goodbye Earl,Dixie Chicks,19,15
69,2000-03-18,No Mercy,Ty Herndon,92,8
70,2000-03-18,Mr. Too Damn Good,Gerald Levert,76,8
71,2000-03-18,"Ryde Or Die, Chick",The Lox Featuring Timbaland And EVE,73,7
72,2000-03-18,Couldn't Last A Moment,Collin Raye,43,20
73,2000-03-18,Whistle While You Twurk,Ying Yang Twins,74,14
74,2000-03-18,Try Again,Aaliyah,1,32
75,2000-03-18,He Wasn't Man Enough,Toni Braxton,2,37
76,2000-03-18,The Bad Touch,Bloodhound Gang,52,12
77,2000-03-25,I Belong To You,Lenny Kravitz,71,9
78,2000-03-25,Can't Stay,Dave Hollister,84,4
79,2000-03-25,Shackles (Praise You),Mary Mary,28,20
80,2000-03-25,Unconditional,Clay Davidson,49,20
81,2000-03-25,If You Don't Wanna Love Me,Tamar Braxton,89,6
82,2000-03-25,You Owe Me,NAS Featuring Ginuwine,59,16
83,2000-03-25,I Wish,Carl Thomas,20,20
84,2000-04-01,What I Need To Do,Kenny Chesney,56,17
85,2000-04-01,Real Live Woman,Trisha Yearwood,81,6
86,2000-04-01,Mirror Mirror,M2M,62,18
87,2000-04-01,I'm Outta Love,Anastacia,92,3
88,2000-04-01,Swear It Again,Westlife,20,20
89,2000-04-01,Where You Are,Jessica Simpson Featuring Nick Lachey,62,6
90,2000-04-01,Be With You,Enrique Iglesias,1,20
91,2000-04-08,Better Off Alone,Alice Deejay,27,20
92,2000-04-08,Purest Of Pain (A Puro Dolor),Son By Four,26,26
93,2000-04-08,Kryptonite,3 Doors Down,3,53
94,2000-04-08,Yes!,Chad Brock,22,20
95,2000-04-08,Crash And Burn,Savage Garden,24,20
96,2000-04-15,I Turn To You,Christina Aguilera,3,22
97,2000-04-15,Graduation (Friends Forever),Vitamin C,38,12
98,2000-04-15,Best Of Me,Mya Featuring Jadakiss,50,17
99,2000-04-15,Give Me You,Mary J. Blige,68,9
100,2000-04-15,Wobble Wobble,504 Boyz,17,18
101,2000-04-15,The Chain Of Love,Clay Walker,40,20
102,2000-04-15,I Don't Wanna Kiss You Goodnight,LFO,61,5
103,2000-04-22,This Time Around,Hanson,20,7
104,2000-04-22,Where I Wanna Be,Donell Jones,29,20
105,2000-04-22,It's So Hard,Big Punisher Featuring Donell Jones,75,15
106,2000-04-22,Broadway,Goo Goo Dolls,24,20
107,2000-04-22,Someday Out Of The Blue,Elton John,49,15
108,2000-04-22,Oops!...I Did It Again,Britney Spears,9,20
109,2000-04-22,Big Pimpin',Jay-Z Featuring UGK,18,20
110,2000-04-29,More,Trace Adkins,65,11
111,2000-04-29,Another Nine Minutes,Yankee Grey,74,8
112,2000-04-29,Flowers On The Wall,Eric Heatherly,50,20
113,2000-04-29,Back Here,BBMak,13,31
114,2000-04-29,(Hot S**t) Country Grammar,Nelly,7,34
115,2000-04-29,Bent,matchbox twenty,1,39
116,2000-04-29,Separated,Avant,23,20
117,2000-05-06,It's Gonna Be Me,'N Sync,1,25
118,2000-05-06,Absolutely (Story Of A Girl),Nine Days,6,27
119,2000-05-06,Let's Get Married,Jagged Edge,11,24
120,2000-05-06,Prayin' For Daylight,Rascal Flatts,38,20
121,2000-05-06,The Real Slim Shady,Eminem,4,19
122,2000-05-13,Nothing As It Seems,Pearl Jam,49,6
123,2000-05-13,I Hope You Dance,Lee Ann Womack,14,48
124,2000-05-13,With Arms Wide Open,Creed,1,47
125,2000-05-13,I Disappear,Metallica,76,20
126,2000-05-13,Me Neither,Brad Paisley,85,4
127,2000-05-13,Love Sets You Free,Kelly Price & Friends,91,4
128,2000-05-13,Desert Rose,Sting Featuring Cheb Mami,17,26
129,2000-05-13,I'll Be,Reba McEntire,51,20
130,2000-05-13,Some Things Never Change,Tim McGraw,58,14
131,2000-05-13,"Jumpin', Jumpin'",Destiny's Child,3,32
132,2000-05-20,Dance Tonight,Lucy Pearl,36,19
133,2000-05-20,Monica,Before Dark,77,9
134,2000-05-20,Shut Up,"Trick Daddy Featuring Duece Poppito, Trina, Co",83,11
135,2000-05-27,The Next Episode,Dr. Dre Featuring Snoop Dogg,23,20
136,2000-05-27,Wifey,Next,7,21
137,2000-05-27,I Need You,LeAnn Rimes,11,25
138,2000-05-27,The One,Backstreet Boys,30,15
139,2000-06-03,3 Little Words,Nu Flavor,89,9
140,2000-06-03,What'Chu Like,Da Brat Featuring Tyrese,26,20
141,2000-06-10,What About Now,Lonestar,30,20
142,2000-06-10,No Me Dejes De Querer,Gloria Estefan,77,1
143,2000-06-10,I Will Love Again,Lara Fabian,32,17
144,2000-06-10,You'll Always Be Loved By Me,Brooks & Dunn,55,19
145,2000-06-10,When You Need My Love,Darryl Worley,75,15
146,2000-06-10,Whatever,Ideal Featuring Lil' Mo,47,18
147,2000-06-10,I Think God Can Explain,Splender,62,12
148,2000-06-17,One Voice,Billy Gilman,38,19
149,2000-06-17,Riddle,En Vogue,92,4
150,2000-06-17,Could I Have This Kiss Forever,Whitney Houston & Enrique Iglesias,52,19
151,2000-06-17,Doesn't Really Matter,Janet,1,24
152,2000-06-17,"Same Script, Different Cast",Whitney Houston & Deborah Cox,70,9
153,2000-06-17,I Wanna Be With You,Mandy Moore,24,17
154,2000-06-24,Crybaby,Mariah Carey Featuring Snoop Dogg,28,7
155,2000-06-24,That's The Way,Jo Dee Messina,25,20
156,2000-06-24,Taking You Home,Don Henley,58,20
157,2000-06-24,Cold Day In July,Dixie Chicks,65,10
158,2000-06-24,Incomplete,Sisqo,1,26
159,2000-06-24,Take That,"Torrey Carter Featuring Missy ""Misdemeanor"" Elliott",86,7
160,2000-06-24,It Must Be Love,Alan Jackson,37,20
161,2000-07-01,Simple Kind Of Life,No Doubt,38,13
162,2000-07-01,What You Want,DMX Featuring Sisqo,49,20
163,2000-07-01,Got Beef,Snoop Dogg Presents Tha Eastsidaz Featuring Jayo Felony And Blaqthoven,99,2
164,2000-07-01,No More,Ruff Endz,5,26
165,2000-07-01,I Think I'm In Love With You,Jessica Simpson,21,16
166,2000-07-08,Sour Girl,Stone Temple Pilots,78,13
167,2000-07-08,Wonderful,Everclear,11,21
168,2000-07-08,Faded,SoulDecision Featuring Thrust,22,24
169,2000-07-08,Dancing Queen,A*Teens,95,5
170,2000-07-08,Don't Call Me Baby,Madison Avenue,88,20
171,2000-07-15,I Will...But,SHeDAISY,43,20
172,2000-07-15,No Matter What They Say,Lil' Kim,60,10
173,2000-07-15,Your Everything,Keith Urban,51,16
174,2000-07-15,As We Lay,Kelly Price,64,8
175,2000-07-15,Got It All,Eve & Jadakiss,88,5
176,2000-07-15,Change Your Mind,Sister Hazel,59,20
177,2000-07-22,Who Let The Dogs Out,Baha Men,40,20
178,2000-07-29,Callin' Me,Lil' Zane Featuring 112,21,13
179,2000-07-29,Dance With Me,Debelah Morgan,8,29
180,2000-07-29,Just Be A Man About It,Toni Braxton,32,20
181,2000-07-29,Last Resort,Papa Roach,57,20
182,2000-07-29,Californication,Red Hot Chili Peppers,69,19
183,2000-08-05,Country Comes To Town,Toby Keith,54,15
184,2000-08-05,Treat Her Like A Lady,Joe,63,17
185,2000-08-05,West Side Story,LFO,84,4
186,2000-08-05,Cherchez LaGhost,Ghostface Killah,98,1
187,2000-08-05,The Light,Common,44,19
188,2000-08-05,Come On Over Baby (All I Want Is You),Christina Aguilera,1,21
189,2000-08-05,Don't Think I'm Not,Kandi,24,24
190,2000-08-12,Music,Madonna,1,24
191,2000-08-12,Ta Da,Lil' Mo,95,7
192,2000-08-12,It's Always Somethin',Joe Diffie,57,14
193,2000-08-12,Let's Make Love,Faith Hill With Tim McGraw,54,14
194,2000-08-12,Most Girls,P!nk,4,27
195,2000-08-12,Shake Ya Ass,Mystikal,13,20
196,2000-08-12,Hey Papi,Jay-Z Featuring Memphis Bleek & Amil,76,15
197,2000-08-12,Imagine That,LL Cool J,98,2
198,2000-08-12,Lucky,Britney Spears,23,11
199,2000-08-12,It's My Life,Bon Jovi,33,20
200,2000-08-19,Bounce With Me,Lil Bow Wow Featuring Xscape,20,20
201,2000-08-19,Baby U Are,Gerald Levert,89,5
202,2000-08-19,Best Of Intentions,Travis Tritt,27,22
203,2000-08-19,Give Me Just One Night (Una Noche),98 Degrees,2,20
204,2000-08-19,Bag Lady,Erykah Badu,6,20
205,2000-08-19,Case Of The Ex (Whatcha Gonna Do),Mya,2,30
206,2000-08-26,The Way I Am,Eminem,58,10
207,2000-08-26,Aaron's Party (Come Get It),Aaron Carter,35,15
208,2000-08-26,Open My Heart,Yolanda Adams,57,20
209,2000-08-26,Kiss This,Aaron Tippin,42,20
210,2000-08-26,You're A God,Vertical Horizon,23,21
211,2000-08-26,Go On,George Strait,40,20
212,2000-09-02,Deep Inside Of You,Third Eye Blind,69,12
213,2000-09-02,Feels Like Love,Vince Gill,52,20
214,2000-09-02,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),2Gether,87,3
215,2000-09-02,Kernkraft 400,Zombie Nation,99,2
216,2000-09-09,There You Are,Martina McBride,60,13
217,2000-09-09,The Little Girl,John Michael Montgomery,35,20
218,2000-09-09,Can't Fight The Moonlight,LeAnn Rimes,11,42
219,2000-09-09,Gotta Tell You,Samantha Mumba,4,22
220,2000-09-09,Pinch Me,Barenaked Ladies,15,21
221,2000-09-09,Bad Boyz,Shyne Featuring Barrington Levy,57,15
222,2000-09-09,Pull Over,Trina,93,4
223,2000-09-16,My Baby You,Marc Anthony,70,20
224,2000-09-16,Between Me And You,Ja Rule Featuring Christina Milian,11,20
225,2000-09-16,That's The Kind Of Mood I'm In,Patty Loveless,71,14
226,2000-09-16,Can't Go For That,Tamia,84,5
227,2000-09-16,Liar,Profyle,14,20
228,2000-09-23,Independent Women Part I,Destiny's Child,1,28
229,2000-09-23,Summer Rain,Carl Thomas,80,11
230,2000-09-23,You Should've Told Me,Kelly Price,64,20
231,2000-09-23,You Won't Be Lonely Now,Billy Ray Cyrus,80,13
232,2000-09-30,That Other Woman,Changing Faces,64,11
233,2000-09-30,Just Another Day In Paradise,Phil Vassar,35,20
234,2000-09-30,He Loves U Not,Dream,2,28
235,2000-09-30,What's Your Fantasy,Ludacris Featuring Shawnna,21,22
236,2000-09-30,This I Promise You,'N Sync,5,26
237,2000-09-30,I Wish,R. Kelly,14,22
238,2000-10-07,She Bangs,Ricky Martin,12,18
239,2000-10-07,Without You,Dixie Chicks,31,20
240,2000-10-07,911,Wyclef Jean Featuring Mary J. Blige,38,19
241,2000-10-07,Beautiful Day,U2,21,25
242,2000-10-07,E.I.,Nelly,15,20
243,2000-10-14,Shape Of My Heart,Backstreet Boys,9,20
244,2000-10-14,What Means The World To You,Cam'ron,83,10
245,2000-10-14,Just Friends (Sunny),Musiq,31,20
246,2000-10-14,We Danced,Brad Paisley,29,20
247,2000-10-21,Born To Fly,Sara Evans,34,20
248,2000-10-21,My Love Goes On And On,Chris Cagle,76,11
249,2000-10-21,Loser,3 Doors Down,55,20
250,2000-10-21,I Lost It,Kenny Chesney,34,20
251,2000-10-21,If You're Gone,matchbox twenty,5,42
252,2000-10-21,My Next Thirty Years,Tim McGraw,27,20
253,2000-10-21,Girls Dem Sugar,Beenie Man Featuring Mya,54,15
254,2000-10-28,Hemorrhage (In My Hands),Fuel,30,22
255,2000-10-28,Straight Up,Chante Moore,83,9
256,2000-10-28,Toca's Miracle,Fragma,99,1
257,2000-10-28,I Just Wanna Love U (Give It 2 Me),JAY-Z,11,21
258,2000-10-28,Sleepwalker,The Wallflowers,73,6
259,2000-11-04,Stan,Eminem Featuring Dido,51,15
260,2000-11-04,No More (Baby I'ma Do Right),3LW,23,25
261,2000-11-04,www.memory,Alan Jackson,45,15
262,2000-11-04,It Wasn't Me,"Shaggy Feat. Ricardo ""RikRok"" Ducent",1,25
263,2000-11-04,Crazy For This Girl,Evan And Jaron,15,23
264,2000-11-04,My First Love,Avant Featuring KeKe Wyatt,26,20
265,2000-11-04,Pop Ya Collar,Usher,60,7
266,2000-11-11,Rollin',Limp Bizkit,65,17
267,2000-11-11,Do You,Funkmaster Flex Featuring DMX,91,7
268,2000-11-11,Oklahoma,Billy Gilman,63,13
269,2000-11-11,Where I Wanna Be,Damizza Presents Shade Sheist Featuring Nate Dogg & Kurupt,95,5
270,2000-11-11,Ms. Jackson,OutKast,1,23
271,2000-11-18,Souljas,Master P,98,1
272,2000-11-18,Meanwhile Back At The Ranch,The Clark Family Experience,80,12
273,2000-11-18,Tell Her,Lonestar,39,20
274,2000-11-18,Again,Lenny Kravitz,4,32
275,2000-11-25,How Many Licks?,Lil' Kim Featuring Sisqo,75,9
276,2000-11-25,Emotional,Carl Thomas,47,20
277,2000-11-25,So In Love With Two,Mikaila,25,16
278,2000-11-25,Bow Wow (That's My Name),Lil Bow Wow,21,20
279,2000-11-25,Original Prankster,The Offspring,70,9
280,2000-12-02,The Itch,Vitamin C,45,9
281,2000-12-02,South Side,Moby Featuring Gwen Stefani,14,32
282,2000-12-02,Spanish Guitar,Toni Braxton,98,3
283,2000-12-02,Burn,Jo Dee Messina,42,20
284,2000-12-02,If I Am,Nine Days,68,5
285,2000-12-02,Stronger,Britney Spears,11,15
286,2000-12-02,Babylon,David Gray,57,18
287,2000-12-09,Love Don't Cost A Thing,Jennifer Lopez,3,21
288,2000-12-09,Don't Tell Me,Madonna,4,21
289,2000-12-09,It's Over Now,112,6,20
290,2000-12-09,One Woman Man,Dave Hollister,44,20
291,2000-12-09,Ashes By Now,Lee Ann Womack,45,17
292,2000-12-09,My Everything,98 Degrees,34,20
293,2000-12-09,Crazy,K-Ci & JoJo,11,25
294,2000-12-16,Danger (Been So Long),Mystikal Featuring Nivea,14,20
295,2000-12-16,Is That Your Chick,Memphis Bleek Featuring Jay-Z & Missy Elliott,68,13
296,2000-12-16,Could It Be,Jaheim,26,20
297,2000-12-16,Project Chick,Cash Money Millionaires,47,13
298,2000-12-16,A Little Gasoline,Terri Clark,75,6
299,2000-12-23,Liquid Dreams,O-Town,10,12
300,2000-12-23,Wild Horses,Garth Brooks,50,14
301,2000-12-23,But For The Grace Of God,Keith Urban,37,20
302,2000-12-23,Put It On Me,Ja Rule Featuring Lil' Mo & Vita,8,27
303,2000-12-23,All Good?,De La Soul Featuring Chaka Khan,96,3
304,2000-12-23,Oh No,Mos Def & Pharoahe Monch Featuring Nate Dogg,83,12
305,2000-12-23,This Everyday Love,Rascal Flatts,56,14
306,2000-12-23,Mamacita,Public Announcement,39,8
307,2000-12-23,Promise,Jagged Edge,9,21
308,2000-12-23,There Is No Arizona,Jamie O'Neal,40,20
309,2000-12-30,X,Xzibit,76,10
310,2000-12-30,Angel,Shaggy Featuring Rayvon,1,28
311,2000-12-30,You Shouldn't Kiss Me Like This,Toby Keith,32,20
312,2000-12-30,Thank You In Advance,Boyz II Men,80,4
313,2000-12-30,I Know,Sunday,98,2
314,2000-12-30,The Christmas Shoes,NewSong,42,2
315,2000-12-30,Still On Your Side,BBMak,54,9
316,2001-01-06,Bouncing Off The Ceiling (Upside Down),A*Teens,93,3
317,2001-01-06,Lady (Hear Me Tonight),Modjo,81,19
318,2001-01-06,Cha-Cha Slide,Mr. C The Slide Man,83,10
319,2001-01-06,Butterfly,Crazy Town,1,23
320,2001-01-06,Where Are You Christmas?,Faith Hill,65,1
321,2001-01-06,Stutter,Joe Featuring Mystikal,1,26
322,2001-01-06,You Make Me Sick,P!nk,33,19
323,2001-01-13,Stranger In My House,Tamia,10,21
324,2001-01-13,Thank You,Dido,3,39
325,2001-01-13,After Party,Koffee Brown,44,20
326,2001-01-20,One More Day,Diamond Rio,29,20
327,2001-01-20,Southern Hospitality,Ludacris,23,20
328,2001-01-20,A Good Day To Run,Darryl Worley,76,9
329,2001-01-20,By Your Side,Sade,75,11
330,2001-01-27,Who I Am,Jessica Andrews,28,20
331,2001-01-27,Breathless,The Corrs,34,20
332,2001-01-27,Outside,Aaron Lewis Of Staind With Fred Durst,56,19
333,2001-01-27,Soul Sista,Bilal,71,14
334,2001-01-27,Georgia,Carolyn Dawn Johnson,98,5
335,2001-01-27,I Did It,Dave Matthews Band,71,11
336,2001-01-27,Jaded,Aerosmith,7,20
337,2001-01-27,Nobody Wants To Be Lonely,Ricky Martin Duet With Christina Aguilera,13,20
338,2001-02-03,If My Heart Had Wings,Faith Hill,39,18
339,2001-02-03,Snoop Dogg,Snoop Dogg,77,5
340,2001-02-03,Pour Me,Trick Pony,71,14
341,2001-02-03,You All Dat,Baha Men With Imani Coppola,94,4
342,2001-02-03,Change The Game,"Jay-Z, Beanie Sigel And Memphis Bleek",86,14
343,2001-02-03,Free,Mya,42,16
344,2001-02-10,A Long Walk,Jill Scott,43,19
345,2001-02-10,One Step Closer,Linkin Park,75,17
346,2001-02-10,Missing You,Case,4,22
347,2001-02-10,One More Time,Daft Punk,61,16
348,2001-02-10,Hanging By A Moment,Lifehouse,2,54
349,2001-02-10,Around The World (La La La La La),ATC,28,18
350,2001-02-17,Don't Talk,Jon B,58,14
351,2001-02-17,Get Crunked Up,Iconz Featuring Tony Manshino,93,5
352,2001-02-17,Love,Musiq Soulchild,24,21
353,2001-02-17,Drive,Incubus,9,39
354,2001-02-17,The Call,Backstreet Boys,52,6
355,2001-02-17,Who's That Girl?,Eve,47,18
356,2001-02-17,Thank You For Loving Me,Bon Jovi,57,10
357,2001-02-24,Look At Us,Sarina Paris,59,20
358,2001-02-24,Just Another Girl,Monica,64,13
359,2001-02-24,Ride Wit Me,Nelly Featuring City Spud,3,29
360,2001-03-03,It's A Great Day To Be Alive,Travis Tritt,33,20
361,2001-03-03,Chickenhead,Project Pat,87,12
362,2001-03-03,Cross The Border,Philly's Most Wanted,98,5
363,2001-03-03,Oochie Wally,QB Finest Featuring Nas & Bravehearts,26,20
364,2001-03-03,Never Had A Dream Come True,S Club 7,10,20
365,2001-03-03,Best I Ever Had (Grey Sky Morning),Vertical Horizon,58,16
366,2001-03-03,I'm Like A Bird,Nelly Furtado,9,24
367,2001-03-03,"So Fresh, So Clean",OutKast,30,20
368,2001-03-10,Don't Happen Twice,Kenny Chesney,26,20
369,2001-03-10,Ain't Nothing 'Bout You,Brooks & Dunn,25,20
370,2001-03-10,Take It To Da House,Trick Daddy Featuring The SNS Express,50,20
371,2001-03-10,Heard It All Before,Sunshine Anderson,18,20
372,2001-03-10,Yellow,Coldplay,48,20
373,2001-03-10,Follow Me,Uncle Kracker,5,33
374,2001-03-17,Survivor,Destiny's Child,2,20
375,2001-03-17,All For You,Janet,1,22
376,2001-03-17,Lucky 4 You (Tonight I'm Just Me),SHeDAISY,79,3
377,2001-03-17,Drops Of Jupiter (Tell Me),Train,5,53
378,2001-03-17,Bizounce,Olivia,15,14
379,2001-03-17,She Misses Him,Tim Rushlow,59,11
380,2001-03-17,If I Fall You're Going Down With Me,Dixie Chicks,38,18
381,2001-03-17,Maybe I Deserve,Tank,38,20
382,2001-03-24,Lay Low,"Snoop Dogg Featuring Master P, Nate Dogg, Butch Cassidy & Tha Eastsidaz",50,19
383,2001-03-24,Mrs. Steven Rudy,Mark McGuinn,44,15
384,2001-03-24,What Would You Do?,City High,8,28
385,2001-03-24,Get Ur Freak On,"Missy ""Misdemeanor"" Elliott",7,25
386,2001-03-31,Get Over Yourself,Eden's Crush,8,14
387,2001-03-31,Video,India.Arie,47,31
388,2001-03-31,Request Line,The Black Eyed Peas Featuring Macy Gray,63,8
389,2001-03-31,Superwoman Pt. II,Lil' Mo Featuring Fabolous,11,22
390,2001-03-31,Fiesta,R. Kelly Featuring Jay-Z,6,21
391,2001-03-31,Grown Men Don't Cry,Tim McGraw,25,20
392,2001-04-07,There It Is,Ginuwine,66,10
393,2001-04-07,Right Where I Need To Be,Gary Allan,42,20
394,2001-04-07,Too Little Too Late,Barenaked Ladies,86,4
395,2001-04-07,I Like Them Girls,Tyrese,48,19
396,2001-04-07,She Couldn't Change Me,Montgomery Gentry,37,21
397,2001-04-07,La Bomba,Azul Azul,70,20
398,2001-04-07,Guilty Until Proven Innocent,Jay-Z Featuring R. Kelly,82,8
399,2001-04-07,Play,Jennifer Lopez,18,20
400,2001-04-14,It's Been Awhile,Staind,5,46
401,2001-04-14,Puppy Love,Lil Bow Wow Featuring Jagged Edge,75,7
402,2001-04-14,If You Can Do Anything Else,George Strait,51,18
403,2001-04-14,Peaches & Cream,112,4,29
404,2001-04-14,Lady Marmalade,"Christina Aguilera, Lil' Kim, Mya & P!nk",1,20
405,2001-04-21,Until The End Of Time,2Pac,52,14
406,2001-04-21,I Could Not Ask For More,Sara Evans,35,20
407,2001-04-28,Two People Fell In Love,Brad Paisley,51,18
408,2001-04-28,Let Me Blow Ya Mind,Eve Featuring Gwen Stefani,2,33
409,2001-04-28,My Way,Limp Bizkit,75,14
410,2001-04-28,Rose Bouquet,Phil Vassar,78,4
411,2001-04-28,When Somebody Loves You,Alan Jackson,52,17
412,2001-04-28,That's How I Beat Shaq,Aaron Carter,96,2
413,2001-04-28,"Like, Wow!",Leslie Carter,99,1
414,2001-05-05,Hit 'Em Up Style (Oops!),Blu Cantrell,2,34
415,2001-05-05,Can't Believe,Faith Evans Featuring Carl Thomas,56,20
416,2001-05-05,I Cry,Ja Rule Featuring Lil' Mo,40,14
417,2001-05-05,Angel,Lionel Richie,70,18
418,2001-05-05,I'm Already There,Lonestar,24,20
419,2001-05-05,What It Feels Like For A Girl,Madonna,23,10
420,2001-05-05,Mad Season,matchbox twenty,48,20
421,2001-05-12,Dream On,Depeche Mode,85,10
422,2001-05-12,Everybody Doesn't,Amanda,81,6
423,2001-05-12,There She Goes,Babyface,31,15
424,2001-05-12,This Is Me,Dream,39,20
425,2001-05-12,"Baby, Come Over (This Is Our Night)",Samantha Mumba,49,17
426,2001-05-19,My Baby,Lil' Romeo,3,14
427,2001-05-19,The Space Between,Dave Matthews Band,22,23
428,2001-05-19,Let's Get Dirty (I Can't Get In Da Club),Redman Featuring DJ Kool,97,2
429,2001-05-19,Irresistible,Jessica Simpson,15,20
430,2001-05-26,There You'll Be,Faith Hill,10,20
431,2001-05-26,Let's Get It,"Three The... G. Dep, P. Diddy & Black Rob",80,9
432,2001-05-26,Imitation Of Life,R.E.M.,83,5
433,2001-05-26,Austin,Blake Shelton,18,20
434,2001-05-26,Wait A Minute,Ray J Featuring Lil' Kim,30,17
435,2001-05-26,More Than That,Backstreet Boys,27,20
436,2001-06-02,Pop,'N Sync,19,15
437,2001-06-02,I Do!!,Toya,16,39
438,2001-06-02,We Need A Resolution,Aaliyah Featuring Timbaland,59,16
439,2001-06-02,Playas Gon' Play,3LW,81,7
440,2001-06-02,What I Really Meant To Say,Cyndi Thomson,26,20
441,2001-06-02,When It's Over,Sugar Ray,13,22
442,2001-06-02,Music,Erick Sermon Featuring Marvin Gaye,22,20
443,2001-06-02,Where The Party At,Jagged Edge With Nelly,3,29
444,2001-06-09,When I Think About Angels,Jamie O'Neal,35,20
445,2001-06-09,I Wanna Be Bad,Willa Ford,22,20
446,2001-06-09,Here's To The Night,Eve 6,30,20
447,2001-06-09,All Or Nothing,O-Town,3,20
448,2001-06-09,Bootylicious,Destiny's Child,1,19
449,2001-06-09,Fill Me In,Craig David,15,27
450,2001-06-16,Where The Blacktop Ends,Keith Urban,35,20
451,2001-06-16,I'm Just Talkin' About Tonight,Toby Keith,27,20
452,2001-06-16,She's All I Got,Jimmy Cozier,26,15
453,2001-06-16,Downtime,Jo Dee Messina,46,15
454,2001-06-16,Loaded,Ricky Martin,97,2
