date,song,artist,peak-rank,weeks-on-board,genres,track,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target,year,id
2012-05-05,Sweet Love,Chris Brown,89,1,"['_blacklist', 'abuser', 'american', 'anti vax', 'contemporary r&b', 'dance', 'dance-pop', 'electro house', 'electropop', 'hip hop', 'hip hop rnb and dance hall', 'hip-hop', 'misogynist', 'pop', 'pop rap', 'r&b', 'relic inn', 'rnb', 'wifebeater', ""ya man ain't me (produced by the.mp3""]",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2012,Sweet_Love_by_Chris_Brown
2019-06-15,The Search,NF,70,2,"['hip hop', 'pop rap', 'rap', 'rapper']",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2019,The_Search_by_NF
2005-09-03,Best I Ever Had,Gary Allan,51,18,"['2008 universal fire victim', 'contemporary country', 'country', 'country rock']",Best I Ever Had,spotify:track:120w1eBYfiYrSXtegu6uEb,0.273,0.59,6.0,-4.997,1.0,0.0295,0.00254,1.07e-06,0.108,0.214,174.863,251480.0,4.0,41.32197,13.0,1.0,2005,Best_I_Ever_Had_by_Gary_Allan
2009-01-31,Day 'N' Nite,Kid Cudi,3,27,"['alternative hip hop', 'hip hop', 'hiphop', 'pop rap', 'rap', 'trap', 'us']",Day 'N' Nite,spotify:track:5FEXPoPnzueFJQCPRIrC3c,0.871,0.44,11.0,-6.25,0.0,0.0761,0.499,4.15e-06,0.114,0.799,137.996,221267.0,4.0,112.49452,9.0,1.0,2009,Day_'N'_Nite_by_Kid_Cudi
2006-07-01,Deja Vu,Beyonce Featuring Jay Z,4,17,"['alternative r&b', 'art pop', 'contemporary pop', 'contemporary r&b', 'country', 'dance-pop', 'electropop', 'funk', 'grammy winner', 'hard rock', 'hip hop rnb and dance hall', 'mbs-333', 'moombahton', 'pop', 'pop rap', 'r&b', 'rnb', 'soul']",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2006,Deja_Vu_by_Beyonce_Featuring_Jay_Z
2007-06-09,4 In The Morning,Gwen Stefani,54,16,"['2008 universal fire victim', 'american', 'contemporary r&b', 'dance-pop', 'electropop', 'new wave', 'no doubt', 'pop', 'pop and chart', 'pop rap', 'pop rock', 'rnb', 'rock', 'ska punk', 'united states']",4 In The Morning,spotify:track:64fSdRkaB7ksxI9suUGYmi,0.698,0.826,10.0,-6.261,1.0,0.031,0.2,0.00013,0.114,0.502,92.409,291107.0,4.0,22.50232,13.0,1.0,2007,4_In_The_Morning_by_Gwen_Stefani
2011-06-04,I'm On One,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",10,23,"['conscious hip hop', 'contemporary r&b', 'english', 'gangsta rap', 'hip hop', 'hip hop rnb and dance hall', 'pop rap', 'southern hip hop', 'trap rap']",I'm On One,spotify:track:608a1wIsSd5KzMEqm1O7w3,0.413,0.807,11.0,-3.499,0.0,0.318,0.0536,0.0,0.631,0.438,149.33,296147.0,4.0,38.99664,12.0,1.0,2011,"I'm_On_One_by_DJ_Khaled_Featuring_Drake,_Rick_Ross_&_Lil_Wayne"
2017-03-11,Rent Money,Future,54,1,"['contemporary r&b', 'englisch', 'english', 'hip hop', 'rap', 'relic inn', 'trap', 'trap rap', 'usa']",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2017,Rent_Money_by_Future
2020-04-18,Ribbon In The Sky,Rod Wave,84,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2020,Ribbon_In_The_Sky_by_Rod_Wave
2019-11-09,Everything We Need,Kanye West Featuring Ty Dolla $ign & Ant Clemons,33,1,"['english', 'hip hop', 'r&b', 'rap']",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2019,Everything_We_Need_by_Kanye_West_Featuring_Ty_Dolla_$ign_&_Ant_Clemons
2012-04-21,Beez In The Trap,Nicki Minaj Featuring 2 Chainz,48,20,"['a filk artist', 'cousin in trinidad wont get the vaccine', 'electronic', 'hip hop', 'hip-hop', 'pop', 'pop rap', 'queen of rap', 'r&b', 'rap', 'relic inn']",Beez In The Trap,spotify:track:4It00tEYLwpjQtAhqnjCPC,0.814,0.782,9.0,-6.005,1.0,0.218,0.0227,0.00167,0.0956,0.683,150.011,268493.0,4.0,51.62654,11.0,1.0,2012,Beez_In_The_Trap_by_Nicki_Minaj_Featuring_2_Chainz
2019-06-01,You Stay,"DJ Khaled Featuring Meek Mill, J Balvin, Lil Baby & Jeremih",44,4,"['east coast hip hop', 'gangsta rap', 'hip hop', 'meek mill', 'trap']",You Stay,spotify:track:4U6ubKsTd8RBDP5tPPhh7I,0.479,0.63,7.0,-5.628,0.0,0.133,0.0314,0.0,0.073,0.227,117.988,275276.0,5.0,66.79038,11.0,1.0,2019,"You_Stay_by_DJ_Khaled_Featuring_Meek_Mill,_J_Balvin,_Lil_Baby_&_Jeremih"
