date,song,artist,peak-rank,weeks-on-board,genres,track,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target,year,id
2014-10-18,Steal My Girl,One Direction,13,18,"['boy band', 'dance-pop', 'folk pop', 'pop', 'pop rock', 'power pop']",Steal My Girl,spotify:track:2Bs4jQEGMycglOfWPBqrVG,0.536,0.768,10.0,-5.948,0.0,0.0347,0.00433,0.0,0.114,0.545,77.217,228133.0,4.0,26.34201,11.0,1.0,2014,Steal_My_Girl_by_One_Direction
2013-11-02,Rap God,Eminem,7,20,"['2008 universal fire victim', '8 mile', 'american', 'boom bap', 'comedy rap', 'detroit', 'detroit hip hop', 'detroit hip-hop', 'eminem', 'english', 'gangsta rap', 'hardcore hip hop', 'hip hop', 'hip-hop', 'hiphop', 'horrorcore', 'kun', 'midwest hip hop', 'midwest hip-hop', 'pop and chart', 'pop rap', 'rap', 'rapper', 'relic inn', 'turkish', 'us', 'v']",Rap God,spotify:track:6or1bKJiZ06IlK0vFvY75k,0.708,0.843,7.0,-2.66,1.0,0.314,0.397,0.0,0.799,0.625,148.14,363521.0,4.0,53.18291,17.0,1.0,2013,Rap_God_by_Eminem
2021-08-21,Buy Dirt,Jordan Davis Featuring Luke Bryan,30,20,['country'],Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2021,Buy_Dirt_by_Jordan_Davis_Featuring_Luke_Bryan
2015-08-22,Hotline Bling,Drake,2,36,"['alternative r&b', 'contemporary r&b', 'cotm candidate', 'hardcore hip', 'hip hop', 'lesbian', 'luxury rap', 'pop rap', 'r&b', 'rap', 'rap us', 'rapper', 'relic inn', 'trap', 'trap rap']",Hotline Bling,spotify:track:0wwPcA6wtMf6HUMpIRdeP7,0.891,0.625,2.0,-7.861,1.0,0.0558,0.00261,0.000176,0.0504,0.548,134.967,267067.0,4.0,69.38968,8.0,1.0,2015,Hotline_Bling_by_Drake
2009-04-18,Come Back To Me,David Cook,63,19,"['american idol', 'rock', ""rock'""]",Come Back To Me,spotify:track:55r33uTqnLglVMHb1qeWOd,0.476,0.895,4.0,-4.857,1.0,0.0299,0.0101,1.02e-06,0.127,0.632,108.087,248000.0,4.0,23.60003,10.0,1.0,2009,Come_Back_To_Me_by_David_Cook
2009-08-22,Digital Girl,"Jamie Foxx Featuring Drake, Kanye West + The-Dream",92,1,"['american', 'electropop', 'english', 'experimental hip hop', 'grammy winner', 'hardcore hip hop', 'hip hop', 'hip hop rnb and dance hall', 'hip-hop', 'luxury rap', 'pop', 'pop rap', 'producer', 'rap', 'rapper', 'relic inn', 'synthpop', 'us']",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2009,"Digital_Girl_by_Jamie_Foxx_Featuring_Drake,_Kanye_West_+_The-Dream"
2001-07-21,Can't Deny It,Fabolous Featuring Nate Dogg,25,20,"['death by stroke', 'g-funk', 'hip hop', 'rap', 'snoop dogg', 'soul', 'west coast hip hop']",Can't Deny It,spotify:track:7K4Aq4awgYvDKEJdEvvl4j,0.916,0.821,4.0,-4.118,0.0,0.15,0.0528,0.0,0.0635,0.592,90.04,306440.0,4.0,50.20525,11.0,1.0,2001,Can't_Deny_It_by_Fabolous_Featuring_Nate_Dogg
2003-08-09,Na Na Na,112 Featuring Super Cat,75,6,"['contemporary r&b', 'east coast hip hop', 'hip hop', 'hip hop rnb and dance hall', 'pop', 'pop rap', 'r&b', 'rhythm and blues']",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2003,Na_Na_Na_by_112_Featuring_Super_Cat
2014-10-11,Feelin' It,Scotty McCreery,84,11,['american idol'],Feelin' It,spotify:track:0ABHhxQTaluB94ohp2RLSr,0.586,0.759,7.0,-5.338,1.0,0.0457,0.1,0.0,0.084,0.687,184.031,198227.0,4.0,26.00223,12.0,1.0,2014,Feelin'_It_by_Scotty_McCreery
2015-01-03,Feeling Myself,Nicki Minaj Featuring Beyonce,39,20,"['a filk artist', 'cousin in trinidad wont get the vaccine', 'electronic', 'hip hop', 'hip-hop', 'pop', 'pop rap', 'queen of rap', 'r&b', 'rap', 'relic inn']",Feeling Myself,spotify:track:5fyIGoaaKelzdyW8ELhYJZ,0.564,0.703,2.0,-5.459,1.0,0.269,0.437,0.00927,0.358,0.477,139.045,237840.0,4.0,20.96189,11.0,1.0,2015,Feeling_Myself_by_Nicki_Minaj_Featuring_Beyonce
2003-06-28,This Is The Night,Clay Aiken,1,16,"['american idol', 'rock']",This Is The Night,spotify:track:2xnVdRMaQBkRfZyefKC2ec,0.528,0.56,11.0,-8.296,1.0,0.0268,0.151,1.28e-06,0.3,0.372,99.037,212200.0,4.0,61.67694,8.0,1.0,2003,This_Is_The_Night_by_Clay_Aiken
2001-02-10,Hanging By A Moment,Lifehouse,2,54,"['2008 universal fire victim', 'alternative rock', 'pop rock', 'post-grunge', 'power pop', 'rock', 'soft rock']",Hanging By A Moment,spotify:track:0wqOReZDnrefefEsrIGeR4,0.541,0.864,1.0,-4.915,1.0,0.0357,0.00118,0.0,0.0896,0.435,124.557,216067.0,4.0,23.7793,9.0,1.0,2001,Hanging_By_A_Moment_by_Lifehouse
2005-06-11,Mississippi Girl,Faith Hill,29,20,"['adult contemporary', 'christmas music', 'contemporary country', 'country', 'country pop', 'pop']",Mississippi Girl,spotify:track:79YeQbd1p7MsuT7wHQLRYY,0.499,0.765,9.0,-4.148,1.0,0.0521,0.113,0.0,0.0509,0.665,83.916,232707.0,4.0,27.97209,11.0,1.0,2005,Mississippi_Girl_by_Faith_Hill
2000-02-19,I Need A Hot Girl,Hot Boys,65,13,"['hip hop', 'rap', 'southern rap']",I Need A Hot Girl,spotify:track:25CnqAR7fzAQbb2SVoSa0b,0.815,0.797,2.0,-6.304,1.0,0.186,0.0557,0.0,0.641,0.65,96.006,292840.0,4.0,65.70652,10.0,1.0,2000,I_Need_A_Hot_Girl_by_Hot_Boys
2012-10-20,Skyfall,Adele,8,20,"['adele', 'adult alternative pop/rock', 'adult contemporary', 'alternative/indie rock', 'blue eyed soul', 'blue-eyed soul', 'english singer', 'jazz', 'music for soccer moms', 'neo soul', 'pop', 'pop and chart', 'pop soul', 'singer', 'soul']",Skyfall,spotify:track:6VObnIkLVruX4UVyxWhlqm,0.346,0.552,0.0,-6.864,0.0,0.0282,0.417,0.0,0.114,0.0789,75.881,286480.0,4.0,26.97353,10.0,1.0,2012,Skyfall_by_Adele
2007-03-17,Because Of You,Ne-Yo,2,20,"['contemporary r&b', 'dance', 'dance-pop', 'electro house', 'electropop', 'hip hop', 'hip hop rnb and dance hall', 'hip house', 'pop rap']",Because Of You,spotify:track:6CFPFnS9EcLs2I0nWqtWci,0.81,0.538,0.0,-5.784,0.0,0.0356,0.528,0.0,0.0951,0.828,109.97,266840.0,4.0,24.35569,9.0,1.0,2007,Because_Of_You_by_Ne-Yo
2021-12-25,You Wouldn't Understand,Juice WRLD,64,1,"['death by murder', 'english', 'hip hop', 'rap', 'usa']",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2021,You_Wouldn't_Understand_by_Juice_WRLD
2020-10-10,Drunk Face,Machine Gun Kelly,91,1,"['4d49e67b-1746-48ac-9eac-9ebabc595486', 'english', 'hip hop', 'rap rock']",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2020,Drunk_Face_by_Machine_Gun_Kelly
2005-09-17,Doesn't Remind Me,Audioslave,68,11,"['2008 universal fire victim', 'alternative metal', 'alternative rock', 'american', 'fixme label mess', 'hard rock', 'post-grunge', 'rock', 'rock and indie', 'supergroup']",Doesn't Remind Me,spotify:track:0o995gJCGebaza0LWybToU,0.457,0.768,9.0,-3.592,1.0,0.0378,0.169,0.0,0.103,0.232,99.739,255000.0,4.0,48.60184,9.0,1.0,2005,Doesn't_Remind_Me_by_Audioslave
2001-06-09,When I Think About Angels,Jamie O'Neal,35,20,['folk'],When I Think About Angels,spotify:track:6X1MOfJSjBT54VcbD1o7vR,0.507,0.843,11.0,-3.421,1.0,0.108,0.274,0.0,0.295,0.504,193.708,182613.0,4.0,37.98745,8.0,1.0,2001,When_I_Think_About_Angels_by_Jamie_O'Neal
2007-11-17,Girlfriend,Bow Wow & Omarion,33,15,"['classic pop and rock', 'new wave', 'punk']",Girlfriend,spotify:track:4yDKPeWA3rJiCNbPALWJjN,0.725,0.795,7.0,-5.291,1.0,0.214,0.114,0.0,0.258,0.85,75.03,284827.0,4.0,77.76711,10.0,1.0,2007,Girlfriend_by_Bow_Wow_&_Omarion
2008-11-08,Sex On Fire,Kings Of Leon,56,20,"['alternative', 'alternative rock', 'american', 'américain', 'garage rock', 'garage rock revival', 'indie', 'indie rock', 'pop rock', 'rock', 'rock and indie', 'southern rock', 'united states', 'usa']",Sex On Fire,spotify:track:0ntQJM78wzOLVeCUAW7Y45,0.542,0.905,9.0,-5.653,1.0,0.054,0.00172,0.0104,0.136,0.374,153.398,203347.0,4.0,25.43298,11.0,1.0,2008,Sex_On_Fire_by_Kings_Of_Leon
2020-03-14,Forever,Lil Baby Featuring Lil Wayne,64,1,"['as jailed', 'chopped and screwed', 'contemporary r&b', 'criminal', 'gangsta rap', 'hip hop', 'hip hop rnb and dance hall', 'lil wayne', 'pop rap', 'r&b', 'rap', 'rap rock', 'relic inn', 'southern hip hop', 'trap']",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2020,Forever_by_Lil_Baby_Featuring_Lil_Wayne
2009-01-31,More Like Her,Miranda Lambert,90,8,"['american', 'contemporary country', 'country', 'country pop', 'rockabilly']",More Like Her,spotify:track:6vMiU1tMnWXkWlmMWjX6ZN,0.556,0.393,11.0,-6.589,1.0,0.025,0.238,0.0,0.0979,0.213,132.746,208867.0,4.0,54.07484,10.0,1.0,2009,More_Like_Her_by_Miranda_Lambert
2014-04-12,Whiskey In My Water,Tyler Farr,52,18,['country'],Whiskey In My Water,spotify:track:5E4CJfa6yZNGSKVFSUgaBt,0.526,0.872,7.0,-5.079,1.0,0.0428,0.245,0.0,0.243,0.583,153.929,188147.0,4.0,17.64029,9.0,1.0,2014,Whiskey_In_My_Water_by_Tyler_Farr
2013-09-21,Versace,Migos,99,1,['hip hop'],Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2013,Versace_by_Migos
2019-01-05,All My Friends,21 Savage,67,2,"['hip hop', 'relic inn']",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2019,All_My_Friends_by_21_Savage
2004-06-26,Accidentally In Love,Counting Crows,39,20,"['2008 universal fire victim', 'alternative rock', 'american', 'americana', 'américain', 'folk rock', 'pop rock', 'rock', 'rock and indie', 'usa']",Accidentally In Love,spotify:track:4ccM2xBxicGigjLqt6A0YY,0.554,0.927,7.0,-3.641,1.0,0.0378,0.044,3.32e-06,0.0876,0.81,138.0,188613.0,4.0,27.5788,9.0,1.0,2004,Accidentally_In_Love_by_Counting_Crows
2000-04-15,Wobble Wobble,504 Boyz,17,18,['hip hop'],Wobble Wobble,spotify:track:2cuVgSUgnRcgXNx909F3TV,0.853,0.709,7.0,-5.607,1.0,0.283,0.00276,0.0,0.353,0.315,170.044,215507.0,4.0,23.98712,12.0,1.0,2000,Wobble_Wobble_by_504_Boyz
2009-03-28,Already Gone,Kelly Clarkson,13,31,"['a filk artist', 'american idol', 'dance-pop', 'electropop', 'fixme label mess', 'music for soccer moms', 'pop', 'pop and chart', 'pop rock', 'rock', 'teen pop']",Already Gone,spotify:track:7ceIquYtiTYlgSSm7PqUf9,0.209,0.872,9.0,-2.996,1.0,0.0757,0.217,0.0,0.0768,0.294,78.139,281560.0,4.0,53.00219,13.0,1.0,2009,Already_Gone_by_Kelly_Clarkson
2007-07-21,Before It's Too Late (Sam And Mikaela's Theme),Goo Goo Dolls,86,3,"[""'"", 'alternative rock', 'classic pop and rock', 'rock']",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2007,Before_It's_Too_Late_(Sam_And_Mikaela's_Theme)_by_Goo_Goo_Dolls
2018-12-15,24/7,Meek Mill Featuring Ella Mai,54,19,"['east coast hip hop', 'gangsta rap', 'hip hop', 'meek mill', 'trap']",24/7,spotify:track:6irE4Fbjbry3czv7mTxVSB,0.657,0.711,0.0,-5.355,1.0,0.374,0.0135,0.0,0.221,0.368,86.957,221522.0,4.0,49.26789,9.0,1.0,2018,24_7_by_Meek_Mill_Featuring_Ella_Mai
2004-06-12,I Go Back,Kenny Chesney,32,20,"['contemporary country', 'country', 'country pop', 'singer/songwriter']",I Go Back,spotify:track:57I7CUbXo4XlWuTVB8pXW6,0.532,0.842,5.0,-5.754,1.0,0.0503,0.0409,0.0,0.217,0.67,90.187,243667.0,4.0,21.37562,11.0,1.0,2004,I_Go_Back_by_Kenny_Chesney
2017-02-25,No Favors,Big Sean Featuring Eminem,22,3,"['2008 universal fire victim', '8 mile', 'american', 'boom bap', 'comedy rap', 'detroit', 'detroit hip hop', 'detroit hip-hop', 'eminem', 'english', 'gangsta rap', 'hardcore hip hop', 'hip hop', 'hip-hop', 'hiphop', 'horrorcore', 'kun', 'midwest hip hop', 'midwest hip-hop', 'pop and chart', 'pop rap', 'rap', 'rapper', 'relic inn', 'turkish', 'us', 'v']",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2017,No_Favors_by_Big_Sean_Featuring_Eminem
2005-02-12,Little Sister,Queens Of The Stone Age,88,9,"['alternative rock', 'alternative/stoner-rock', 'american', 'desert rock', 'hard rock', 'rock', 'rock and indie', 'stoner metal', 'stoner rock']",Little Sister,spotify:track:0BqQWfhMrkpRAUCbdfdHUC,0.364,0.959,1.0,-2.956,1.0,0.0627,0.0113,0.000953,0.411,0.927,161.798,174027.0,4.0,74.39997,7.0,1.0,2005,Little_Sister_by_Queens_Of_The_Stone_Age
2000-08-05,Don't Think I'm Not,Kandi,24,24,"['dance and electronica', 'r&b']",Don't Think I'm Not,spotify:track:487Dyzs7Xbbk4hIWYyYT80,0.859,0.622,11.0,-8.196,1.0,0.0445,0.0661,0.0,0.0394,0.433,134.007,243533.0,4.0,44.01383,10.0,1.0,2000,Don't_Think_I'm_Not_by_Kandi
2013-04-06,Hey Pretty Girl,Kip Moore,41,20,['country'],Hey Pretty Girl,spotify:track:75p6fgACKYIyIhsoG411SZ,0.345,0.375,2.0,-10.762,1.0,0.0292,0.158,1.22e-05,0.26,0.0898,83.214,215920.0,1.0,52.95019,11.0,1.0,2013,Hey_Pretty_Girl_by_Kip_Moore
2005-02-12,Home,Three Days Grace,90,4,"['alternative metal', 'alternative rock']",Home,spotify:track:6GVryHJpjnrnrsTggoNTpe,0.366,0.847,8.0,-5.216,1.0,0.035,2.64e-05,0.0,0.228,0.606,166.17,260680.0,4.0,38.13823,7.0,1.0,2005,Home_by_Three_Days_Grace
2021-10-30,Peepin Out The Window,Young Thug With Future & BSlime,95,1,"['english', 'hip hop', 'rap', 'relic inn', 'trap']",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2021,Peepin_Out_The_Window_by_Young_Thug_With_Future_&_BSlime
2006-05-27,"Steady, As She Goes",The Raconteurs,54,20,"['alternative rock', 'american', 'blues rock', 'hard rock', 'indie rock', 'rock', 'rock and indie']","Steady, As She Goes",spotify:track:19iqWNzp5LwEdvntpEK8MP,0.524,0.578,9.0,-4.563,1.0,0.12,0.0132,0.00921,0.108,0.537,123.669,215267.0,4.0,52.70709,8.0,1.0,2006,"Steady,_As_She_Goes_by_The_Raconteurs"
2021-11-20,Throw It Away,Summer Walker,41,1,"['anti vax', 'r&b', 'soul']",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2021,Throw_It_Away_by_Summer_Walker
2018-07-14,Summer Games,Drake,28,2,"['alternative r&b', 'contemporary r&b', 'cotm candidate', 'hardcore hip', 'hip hop', 'lesbian', 'luxury rap', 'pop rap', 'r&b', 'rap', 'rap us', 'rapper', 'relic inn', 'trap', 'trap rap']",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2018,Summer_Games_by_Drake
2004-03-27,Desperately,George Strait,44,14,"['2008 universal fire victim', 'country', 'neo-traditionalist country']",Desperately,spotify:track:1hQhVRvc0E4ip1tall6Ey7,0.665,0.386,4.0,-9.301,1.0,0.025,0.369,2.59e-06,0.164,0.534,93.173,247533.0,4.0,33.93913,11.0,1.0,2004,Desperately_by_George_Strait
2020-05-16,Humble,Lil Baby,86,1,"['english', 'hip hop', 'lil baby', 'rap']",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2020,Humble_by_Lil_Baby
2001-10-06,Do U Wanna Roll (Dolittle Theme),"R.L., Snoop Dogg & Lil' Kim",84,16,"['2008 universal fire victim', 'american', 'criminal', 'g-funk', 'gangsta rap', 'hip hop', 'hip hop rnb and dance hall', 'hip-hop', 'reggae', 'relic inn', 'west coast hip hop', 'west coast hip-hop']",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2001,"Do_U_Wanna_Roll_(Dolittle_Theme)_by_R.L.,_Snoop_Dogg_&_Lil'_Kim"
2007-03-10,"Pop, Lock & Drop It",Huey,6,23,Unknown,"Pop, Lock & Drop It",spotify:track:6DbqCKweKwVkHgRv1CI53D,0.723,0.644,11.0,-6.863,0.0,0.222,0.00308,0.0,0.352,0.645,144.09,261027.0,4.0,48.67136,11.0,1.0,2007,"Pop,_Lock_&_Drop_It_by_Huey"
2018-12-15,Time,Lil Baby Featuring Meek Mill,62,1,"['east coast hip hop', 'gangsta rap', 'hip hop', 'meek mill', 'trap']",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2018,Time_by_Lil_Baby_Featuring_Meek_Mill
2011-06-11,You And I,Lady Gaga,6,20,"['american', 'américain', 'art pop', 'britney spears', 'dance', 'dance-pop', 'disco', 'edge of glory', 'electronic', 'electropop', 'gata rahe mera dil', 'pop', 'pop rock', 'saxx dreams', 'server name', 'synth-pop', 'synthpop', 'the fame', 'united states', 'usa']",You And I,spotify:track:6rkAY9rk1NTFB94QxG3LJR,0.518,0.709,2.0,-5.234,1.0,0.0476,0.075,0.0,0.0935,0.514,127.083,307347.0,4.0,22.36687,15.0,1.0,2011,You_And_I_by_Lady_Gaga
2005-09-10,Girl Tonite,Twista Featuring Trey Songz,14,20,"['contemporary r&b', 'electropop', 'hip hop', 'hip hop rnb and dance hall', 'pop rap', 'r&b', 'soul']",Girl Tonite,spotify:track:7zIxcV689lVTl924lAf9Kn,0.668,0.724,7.0,-5.953,1.0,0.0536,0.00551,0.0,0.218,0.318,148.522,221373.0,4.0,40.15019,12.0,1.0,2005,Girl_Tonite_by_Twista_Featuring_Trey_Songz
2005-04-16,We Belong Together,Mariah Carey,1,43,"['adult contemporary', 'american', 'christmas music', 'contemporary r&b', 'dance-pop', 'english', 'girl', 'pop', 'pop and chart', 'pop soul', 'r&b', 'rnb', 'soul', 'whistle register']",We Belong Together,spotify:track:3LmvfNUQtglbTrydsdIqFU,0.837,0.462,0.0,-7.89,1.0,0.0601,0.0339,0.0,0.09,0.762,139.986,201400.0,4.0,22.51546,9.0,1.0,2005,We_Belong_Together_by_Mariah_Carey
2011-11-19,All I Want For Christmas Is You (SuperFestive!),Justin Bieber Duet With Mariah Carey,86,1,"['adult contemporary', 'american', 'christmas music', 'contemporary r&b', 'dance-pop', 'english', 'girl', 'pop', 'pop and chart', 'pop soul', 'r&b', 'rnb', 'soul', 'whistle register']",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2011,All_I_Want_For_Christmas_Is_You_(SuperFestive!)_by_Justin_Bieber_Duet_With_Mariah_Carey
2013-07-27,Part II (On The Run),Jay Z Featuring Beyonce,77,16,"['alternative r&b', 'art pop', 'contemporary pop', 'contemporary r&b', 'country', 'dance-pop', 'electropop', 'funk', 'grammy winner', 'hard rock', 'hip hop rnb and dance hall', 'mbs-333', 'moombahton', 'pop', 'pop rap', 'r&b', 'rnb', 'soul']",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2013,Part_II_(On_The_Run)_by_Jay_Z_Featuring_Beyonce
