_date,_song,_artist,_peak-rank,_weeks-on-board,_genres,_track,_uri,year,id,keywords
2000-01-01,I Wanna Know,Joe,4,44,"['american', 'bebop', 'death by liver cancer', 'jazz']",I Wanna Know,spotify:track:1m2xMsxbtxv21Brome189p,2000,I_Wanna_Know_by_Joe,"american, bebop, death by liver cancer, jazz"
2000-01-01,Show Me The Meaning Of Being Lonely,Backstreet Boys,6,24,"['american', 'boy band', 'boy group', 'dance-pop', 'electropop', 'incomplete remix', 'pop', 'pop and chart', 'pop rock', 'teen pop']",Show Me The Meaning Of Being Lonely,spotify:track:3BsaRV5QIulYz2lV9WWa8T,2000,Show_Me_The_Meaning_Of_Being_Lonely_by_Backstreet_Boys,"american, boy band, boy group, dance-pop, electropop, incomplete remix, pop, pop and chart, pop rock, teen pop"
2000-01-08,All I Want For Christmas Is You,Mariah Carey,1,50,"['adult contemporary', 'american', 'christmas music', 'contemporary r&b', 'dance-pop', 'english', 'girl', 'pop', 'pop and chart', 'pop soul', 'r&b', 'rnb', 'soul', 'whistle register']",All I Want For Christmas Is You,spotify:track:0bYg9bo50gSsH3LtXe2SQn,2000,All_I_Want_For_Christmas_Is_You_by_Mariah_Carey,"adult contemporary, american, christmas music, contemporary r&b, dance-pop, english, girl, pop, pop and chart, pop soul, r&b, rnb, soul, whistle register"
2000-01-22,Never Let You Go,Third Eye Blind,14,22,"['alternative rock', 'classic pop and rock', 'pop rock', 'power pop']",Never Let You Go,spotify:track:1sxUaLi0G2vB7dl4ogtCxH,2000,Never_Let_You_Go_by_Third_Eye_Blind,"alternative rock, classic pop and rock, pop rock, power pop"
2000-01-22,It Feels So Good,Sonique,8,24,"['breakbeat', 'british', 'dance-pop', 'english', 'eurodance', 'house', 'pop and chart', 'uk']",It Feels So Good,spotify:track:4Y8q64VnhD0vFYy9g2WFpi,2000,It_Feels_So_Good_by_Sonique,"breakbeat, british, dance-pop, english, eurodance, house, pop and chart, uk"
2000-01-22,Everything You Want,Vertical Horizon,1,41,['iswcs pending'],Everything You Want,spotify:track:4cKGldbhGJniI8BrB3K6tb,2000,Everything_You_Want_by_Vertical_Horizon,iswcs pending
2000-01-29,From The Bottom Of My Broken Heart,Britney Spears,14,20,"['american', 'américain', 'contemporary r&b', 'dance', 'dance-pop', 'electro house', 'electropop', 'if you seek amy', 'pop', 'pop and chart', 'teen pop', 'urban pop', 'usa']",From The Bottom Of My Broken Heart,spotify:track:70XtWbcVZcpaOddJftMcVi,2000,From_The_Bottom_Of_My_Broken_Heart_by_Britney_Spears,"american, américain, contemporary r&b, dance, dance-pop, electro house, electropop, if you seek amy, pop, pop and chart, teen pop, urban pop, usa"
2000-01-29,Thong Song,Sisqo,3,28,"['american', 'contemporary r&b', 'hip hop', 'hip hop rnb and dance hall', 'pop', 'r&b']",Thong Song,spotify:track:5Mmk2ii6laakqfeCT7OnVD,2000,Thong_Song_by_Sisqo,"american, contemporary r&b, hip hop, hip hop rnb and dance hall, pop, r&b"
2000-02-12,Otherside,Red Hot Chili Peppers,14,22,"['00s', '10s', '80s', '90s', 'alternative', 'alternative rock', 'american', 'crossover', 'dvd', 'funk', 'funk metal', 'funk rock', 'funk rock tributo', 'metal', 'pop and chart', 'pop rock', 'rap', 'rap rock', 'rock', 'usa']",Otherside,spotify:track:64BbK9SFKH2jk86U3dGj2P,2000,Otherside_by_Red_Hot_Chili_Peppers,"00s, 10s, 80s, 90s, alternative, alternative rock, american, crossover, dvd, funk, funk metal, funk rock, funk rock tributo, metal, pop and chart, pop rock, rap, rap rock, rock, usa"
2000-02-19,I Try,Macy Gray,5,27,"['contemporary r&b', 'neo-soul', 'pop soul', 'r&b', 'reggae', 'soul', 'soul and reggae']",I Try,spotify:track:5TAf4lnZCZTLlZHNZMLFLi,2000,I_Try_by_Macy_Gray,"contemporary r&b, neo-soul, pop soul, r&b, reggae, soul, soul and reggae"
