_uri,id,_date,_song,_artist,_peak-rank,_weeks-on-board,_genres,_track,_uri.1,year,keywords
1m2xMsxbtxv21Brome189p,I_Wanna_Know_by_Joe,2000-01-01,I Wanna Know,Joe,4,44,"['american', 'bebop', 'death by liver cancer', 'jazz']",I Wanna Know,1m2xMsxbtxv21Brome189p,2000,"american, bebop, death by liver cancer, jazz"
3BsaRV5QIulYz2lV9WWa8T,Show_Me_The_Meaning_Of_Being_Lonely_by_Backstreet_Boys,2000-01-01,Show Me The Meaning Of Being Lonely,Backstreet Boys,6,24,"['american', 'boy band', 'boy group', 'dance-pop', 'electropop', 'incomplete remix', 'pop', 'pop and chart', 'pop rock', 'teen pop']",Show Me The Meaning Of Being Lonely,3BsaRV5QIulYz2lV9WWa8T,2000,"american, boy band, boy group, dance-pop, electropop, incomplete remix, pop, pop and chart, pop rock, teen pop"
0bYg9bo50gSsH3LtXe2SQn,All_I_Want_For_Christmas_Is_You_by_Mariah_Carey,2000-01-08,All I Want For Christmas Is You,Mariah Carey,1,50,"['adult contemporary', 'american', 'christmas music', 'contemporary r&b', 'dance-pop', 'english', 'girl', 'pop', 'pop and chart', 'pop soul', 'r&b', 'rnb', 'soul', 'whistle register']",All I Want For Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,2000,"adult contemporary, american, christmas music, contemporary r&b, dance-pop, english, girl, pop, pop and chart, pop soul, r&b, rnb, soul, whistle register"
1sxUaLi0G2vB7dl4ogtCxH,Never_Let_You_Go_by_Third_Eye_Blind,2000-01-22,Never Let You Go,Third Eye Blind,14,22,"['alternative rock', 'classic pop and rock', 'pop rock', 'power pop']",Never Let You Go,1sxUaLi0G2vB7dl4ogtCxH,2000,"alternative rock, classic pop and rock, pop rock, power pop"
4Y8q64VnhD0vFYy9g2WFpi,It_Feels_So_Good_by_Sonique,2000-01-22,It Feels So Good,Sonique,8,24,"['breakbeat', 'british', 'dance-pop', 'english', 'eurodance', 'house', 'pop and chart', 'uk']",It Feels So Good,4Y8q64VnhD0vFYy9g2WFpi,2000,"breakbeat, british, dance-pop, english, eurodance, house, pop and chart, uk"
4cKGldbhGJniI8BrB3K6tb,Everything_You_Want_by_Vertical_Horizon,2000-01-22,Everything You Want,Vertical Horizon,1,41,['iswcs pending'],Everything You Want,4cKGldbhGJniI8BrB3K6tb,2000,iswcs pending
70XtWbcVZcpaOddJftMcVi,From_The_Bottom_Of_My_Broken_Heart_by_Britney_Spears,2000-01-29,From The Bottom Of My Broken Heart,Britney Spears,14,20,"['american', 'américain', 'contemporary r&b', 'dance', 'dance-pop', 'electro house', 'electropop', 'if you seek amy', 'pop', 'pop and chart', 'teen pop', 'urban pop', 'usa']",From The Bottom Of My Broken Heart,70XtWbcVZcpaOddJftMcVi,2000,"american, américain, contemporary r&b, dance, dance-pop, electro house, electropop, if you seek amy, pop, pop and chart, teen pop, urban pop, usa"
5Mmk2ii6laakqfeCT7OnVD,Thong_Song_by_Sisqo,2000-01-29,Thong Song,Sisqo,3,28,"['american', 'contemporary r&b', 'hip hop', 'hip hop rnb and dance hall', 'pop', 'r&b']",Thong Song,5Mmk2ii6laakqfeCT7OnVD,2000,"american, contemporary r&b, hip hop, hip hop rnb and dance hall, pop, r&b"
64BbK9SFKH2jk86U3dGj2P,Otherside_by_Red_Hot_Chili_Peppers,2000-02-12,Otherside,Red Hot Chili Peppers,14,22,"['00s', '10s', '80s', '90s', 'alternative', 'alternative rock', 'american', 'crossover', 'dvd', 'funk', 'funk metal', 'funk rock', 'funk rock tributo', 'metal', 'pop and chart', 'pop rock', 'rap', 'rap rock', 'rock', 'usa']",Otherside,64BbK9SFKH2jk86U3dGj2P,2000,"00s, 10s, 80s, 90s, alternative, alternative rock, american, crossover, dvd, funk, funk metal, funk rock, funk rock tributo, metal, pop and chart, pop rock, rap, rap rock, rock, usa"
5TAf4lnZCZTLlZHNZMLFLi,I_Try_by_Macy_Gray,2000-02-19,I Try,Macy Gray,5,27,"['contemporary r&b', 'neo-soul', 'pop soul', 'r&b', 'reggae', 'soul', 'soul and reggae']",I Try,5TAf4lnZCZTLlZHNZMLFLi,2000,"contemporary r&b, neo-soul, pop soul, r&b, reggae, soul, soul and reggae"
