index,_date,_song,_artist,_peak-rank,_weeks-on-board,_genres,_track,_uri,_danceability,_energy,_key,_loudness,_mode,_speechiness,_acousticness,_instrumentalness,_liveness,_valence,_tempo,_duration_ms,_time_signature,_chorus_hit,_sections,_target,year,id,keywords
0,2000-01-01,A Country Boy Can Survive (Y2K Version),Chad Brock With Hank Williams Jr. & George Jones,75,3,"['american', 'country', 'country music royalty', 'outlaw country', 'rock', 'southern rock']",A Country Boy Can Survive (Y2K Version),spotify:track:5pinOKTQyPCPpgjIOKVFY3,0.669,0.592,7.0,-4.628,1.0,0.0317,0.166,0.0,0.114,0.51,75.938,237667.0,4.0,23.61273,11.0,1.0,2000,A_Country_Boy_Can_Survive_Y2K_Version_by_Chad_Brock_With_Hank_Williams_Jr_George_Jones,"american, country, country music royalty, outlaw country, rock, southern rock"
1,2000-01-01,I Wanna Know,Joe,4,44,"['american', 'bebop', 'death by liver cancer', 'jazz']",I Wanna Know,spotify:track:1m2xMsxbtxv21Brome189p,0.725,0.487,8.0,-5.959,0.0,0.0368,0.26,1.09e-05,0.431,0.599,136.086,296693.0,4.0,30.12501,12.0,1.0,2000,I_Wanna_Know_by_Joe,"american, bebop, death by liver cancer, jazz"
2,2000-01-01,The Quittin' Kind,Joe Diffie,90,6,"['country', 'death by covid-19']",The Quittin' Kind,spotify:track:4u6U5nwYHok67BBymI9ldh,0.595,0.904,7.0,-4.803,1.0,0.0355,0.03,4.43e-05,0.397,0.6,102.002,207467.0,4.0,39.45951,9.0,1.0,2000,The_Quittin_Kind_by_Joe_Diffie,"country, death by covid-19"
3,2000-01-01,Show Me The Meaning Of Being Lonely,Backstreet Boys,6,24,"['american', 'boy band', 'boy group', 'dance-pop', 'electropop', 'incomplete remix', 'pop', 'pop and chart', 'pop rock', 'teen pop']",Show Me The Meaning Of Being Lonely,spotify:track:3BsaRV5QIulYz2lV9WWa8T,0.63,0.625,6.0,-5.088,0.0,0.0252,0.231,0.0,0.0765,0.683,167.998,234960.0,4.0,28.3789,13.0,1.0,2000,Show_Me_The_Meaning_Of_Being_Lonely_by_Backstreet_Boys,"american, boy band, boy group, dance-pop, electropop, incomplete remix, pop, pop and chart, pop rock, teen pop"
4,2000-01-01,This Gift,98 Degrees,49,3,"['adult contemporary', 'american', 'boy band', 'contemporary r&b', 'pop', 'rnb', 'soul', 'teen pop', 'urban']",This Gift,spotify:track:48msdKyfFVzTbiKFQpEUCr,0.679,0.804,6,-3.886,1,0.0439,0.0857,5.97e-06,0.19,0.64,80.981,167127,4,Unknown,Unknown,Unknown,2000,This_Gift_by_98_Degrees,"adult contemporary, american, boy band, contemporary r&b, pop, rnb, soul, teen pop, urban"
5,2000-01-08,All I Want For Christmas Is You,Mariah Carey,1,50,"['adult contemporary', 'american', 'christmas music', 'contemporary r&b', 'dance-pop', 'english', 'girl', 'pop', 'pop and chart', 'pop soul', 'r&b', 'rnb', 'soul', 'whistle register']",All I Want For Christmas Is You,spotify:track:0bYg9bo50gSsH3LtXe2SQn,0.335,0.625,7.0,-7.462,1.0,0.0386,0.164,0.0,0.0708,0.346,150.277,241107.0,4.0,53.84087,10.0,1.0,2000,All_I_Want_For_Christmas_Is_You_by_Mariah_Carey,"adult contemporary, american, christmas music, contemporary r&b, dance-pop, english, girl, pop, pop and chart, pop soul, r&b, rnb, soul, whistle register"
6,2000-01-08,G'd Up,Snoop Dogg Presents Tha Eastsidaz,47,14,"['g-funk', 'hip hop', 'west coast hip hop']",G'd Up,spotify:track:1zIXpzuCC7FM4kECt2eEzu,0.908,0.763,1.0,-5.739,1.0,0.28,0.0395,0.0,0.0646,0.593,97.106,273467.0,4.0,23.51463,11.0,1.0,2000,G_d_Up_by_Snoop_Dogg_Presents_Tha_Eastsidaz,"g-funk, hip hop, west coast hip hop"
7,2000-01-08,Love Is Blind,Eve Featuring Faith Evans,34,16,"['hip hop rnb and dance hall', 'soul']",Love Is Blind,spotify:track:0H2jfzzREOr9MF95HB7ry6,0.688,0.815,0.0,-4.761,1.0,0.321,0.263,0.0,0.151,0.587,176.086,260307.0,4.0,42.5635,13.0,1.0,2000,Love_Is_Blind_by_Eve_Featuring_Faith_Evans,"hip hop rnb and dance hall, soul"
8,2000-01-08,The Best Man I Can Be,"Ginuwine, R.L., Tyrese, Case",77,12,"['hip hop rnb and dance hall', 'r&b', 'soul']",The Best Man I Can Be,spotify:track:5FdmujV6PtMOHa23FoH67Z,0.662,0.536,0.0,-7.679,1.0,0.0689,0.537,0.0,0.0942,0.302,111.845,389880.0,4.0,28.34094,16.0,1.0,2000,The_Best_Man_I_Can_Be_by_Ginuwine_R_L_Tyrese_Case,"hip hop rnb and dance hall, r&b, soul"
9,2000-01-15,Do It Again (Put Ya Hands Up),Jay-Z Featuring Beanie Sigel & Amil,65,9,['hip hop'],Do It Again (Put Ya Hands Up),spotify:track:4EIzsbsVOzfLwyIvfsRQ8H,0.771,0.826,7.0,-7.458,1.0,0.261,0.166,0.0,0.358,0.338,98.368,278533.0,4.0,24.17972,10.0,1.0,2000,Do_It_Again_Put_Ya_Hands_Up_by_Jay_Z_Featuring_Beanie_Sigel_Amil,hip hop
